שנה,מזהה רמה 1,שם רמה 1,מזהה רמה 2,שם רמה 2,קוד סעיף,שם סעיף,קוד תחום,שם תחום,קוד תוכנית,שם תוכנית,קוד תקנה,שם תקנה מלא,"תקנה פעילה / פש""ח",סוג הוצאה,מקורי - נטו,מקורי - הוצאה מותנית,מקורי - הכנסה מיועדת,מקורי - הרשאה,מקורי - שיא כא,מקורי - עבצ,מקורי - כמויות,תקציב מאושר - הוצאות נטו,תקציב מאושר - הוצאה מותנית בהכנסה,תקציב מאושר - הכנסה מיועדת,תקציב מאושר - הרשאה להתחייב,תקציב מאושר - שיא כא,תקציב מאושר - עבצ,תקציב מאושר - כמויות,ביצוע - מזומן
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150102,תקציב הביטחון,15010215,יעודה להיוונים,תקנה פעילה,הוצאה,"125,306",0,0,0,0,0,0,"125,306",0,0,0,0,0,0,0
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150102,תקציב הביטחון,15010216,גימלאות משרד הביטחון,תקנה פעילה,הוצאה,"203,481",0,0,0,0,0,0,"203,481",0,0,0,0,0,0,"680,713"
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150102,תקציב הביטחון,15010217,תגמולים ותשלומי משפחה,תקנה פעילה,הוצאה,"2,474,427",0,0,0,0,0,0,"2,474,427",0,0,0,0,0,0,"2,466,517"
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150102,תקציב הביטחון,15010218,שיקום - שונות,תקנה פעילה,הוצאה,"2,805,823",0,0,0,0,0,0,"2,805,823",0,0,0,0,0,0,"2,387,340"
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150102,תקציב הביטחון,15010219,רזרבה לתשלומי העברה,תקנה פעילה,הוצאה,"77,369",0,0,0,0,0,0,"77,369",0,0,0,0,0,0,0
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150102,תקציב הביטחון,15010221,קניות ושרותים אחרים,תקנה פעילה,הוצאה,"4,214,952","604,000",0,"22,090,000",0,0,0,"12,660,497","604,000",0,"26,883,750",0,0,0,"17,422,963"
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150102,תקציב הביטחון,15010222,עבודות בינוי,תקנה פעילה,הוצאה,"674,155",0,0,0,0,0,0,"674,155",0,0,0,0,0,0,"1,059,694"
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150102,תקציב הביטחון,15010223,אחזקת מבנים,תקנה פעילה,הוצאה,"301,088",0,0,0,0,0,0,"301,088",0,0,0,0,0,0,"1,840,404"
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150102,תקציב הביטחון,15010224,קניות ושרותים בארץ מהכנסות,תקנה פעילה,הוצאה,0,"2,777,000",0,0,0,0,0,0,"4,207,000",0,0,0,0,0,"2,421,340"
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150102,תקציב הביטחון,15010226,השתתפות מסעיפים אחרים,תקנה פעילה,הכנסה,"-131,954",0,0,0,0,0,0,"-330,000",0,0,0,0,0,0,"-313,054"
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150102,תקציב הביטחון,15010227,השתתפויות בסעיפים אחרים,תקנה פעילה,הוצאה,"353,419",0,0,0,0,0,0,"389,469",0,0,0,0,0,0,"389,469"
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150102,תקציב הביטחון,15010228,מכשול בגבול המערבי,תקנה פעילה,הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150102,תקציב הביטחון,15010229,רזרבה להתייקרויות שיקום,תקנה פעילה,הוצאה,"614,165",0,0,0,0,0,0,"614,165",0,0,0,0,0,0,0
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150102,תקציב הביטחון,15010230,מתקן המתנה למסתננים,תקנה פעילה,הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150102,תקציב הביטחון,15010231,"מט""ח סיוע בארה""ב",תקנה פעילה,הוצאה,"6,884,003","3,149,516",0,"9,910,000",0,0,0,"8,993,003","3,149,516",0,"9,910,000",0,0,0,"10,473,750"
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150102,תקציב הביטחון,15010232,"מט""ח סיוע המרה לש""ח",תקנה פעילה,הוצאה,"2,986,766",0,0,0,0,0,0,"2,986,766",0,0,0,0,0,0,0
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150102,תקציב הביטחון,15010233,"מט""ח סיוע המרה למזומן",תקנה פעילה,הוצאה,"21,747",0,0,0,0,0,0,"21,747",0,0,0,0,0,0,0
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150102,תקציב הביטחון,15010236,"רזרבה להתייקרויות מט""ח מזומן",תקנה פעילה,הוצאה,"305,954",0,0,0,0,0,0,"305,954",0,0,0,0,0,0,0
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150102,תקציב הביטחון,15010241,ישיבות הסדר,תקנה פעילה,הוצאה,"22,490",0,0,0,0,0,0,"22,490",0,0,0,0,0,0,"42,000"
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150102,תקציב הביטחון,15010243,הוצאות חשמל,תקנה פעילה,הוצאה,"417,513",0,0,0,0,0,0,"417,513",0,0,0,0,0,0,"573,950"
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150102,תקציב הביטחון,15010250,"הכנסות מחו""ל",תקנה פעילה,הכנסה,0,0,"-5,726,516",0,0,0,0,0,0,"-6,406,516",0,0,0,0,"-5,641,728"
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150102,תקציב הביטחון,15010251,הכנסות מגורמי חוץ,תקנה פעילה,הכנסה,0,0,"-804,000",0,0,0,0,0,0,"-1,554,000",0,0,0,0,"-1,117,296"
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150102,תקציב הביטחון,15010271,מכשול מרחב התפר,תקנה פעילה,הוצאה,"825,723",0,0,0,0,0,0,"825,723",0,0,0,0,0,0,"625,817"
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150102,תקציב הביטחון,15010290,תקציב הביטחון שונות,תקנה פעילה,הוצאה,0,0,0,0,0,0,0,"7,446,026","190,000",0,"2,460,000",0,0,0,"7,033,981"
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150102,תקציב הביטחון,15010291,השתתפות ביטחון שונות בסעיפים אחרים,תקנה פעילה,הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150102,תקציב הביטחון,15010293,הכנסות שונות,תקנה פעילה,הכנסה,0,0,0,0,0,0,0,0,0,"-190,000",0,0,0,0,0
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150102,תקציב הביטחון,15010294,השתתפות בתקציב הביטחון שונות,תקנה פעילה,הכנסה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150102,תקציב הביטחון,15010295,רכישות שוטפות הפחתה שונות,תקנה פעילה,הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150102,תקציב הביטחון,15010296,מתן שירותים הפחתה שונות,תקנה פעילה,הכנסה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150102,תקציב הביטחון,15010297,מתן שירותים הפחתה ביטחון,תקנה פעילה,הכנסה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150102,תקציב הביטחון,15010298,רכישות שוטפות הפחתה ביטחון,תקנה פעילה,הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150110,מגן רקיע,15011034,מגן רקיע,תקנה פעילה,הוצאה,"38,800",0,0,0,0,0,0,"38,800",0,0,0,0,0,0,"39,758"
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1502,פינוי מוקשים,150201,תקציב הרשות לפינוי,15020101,שכר,תקנה פעילה,הוצאה,"1,809",0,0,0,1,0,0,"1,809",0,0,0,1,0,0,"3,025"
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1502,פינוי מוקשים,150201,תקציב הרשות לפינוי,15020102,אמרכלות ופעולות,תקנה פעילה,הוצאה,"24,381",0,0,0,0,0,0,"24,381",0,0,0,0,0,0,"32,256"
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1503,היחידה לקליטת חיילים,150301,שכר,15030101,שכר,תקנה פעילה,הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,445"
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1503,היחידה לקליטת חיילים,150301,שכר,15030102,שכר חיילי חובה,תקנה פעילה,הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1503,היחידה לקליטת חיילים,150301,שכר,15030103,חודשי עבודה,תקנה פעילה,הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1503,היחידה לקליטת חיילים,150301,שכר,15030104,השתתפות במשרד הביטחון,תקנה פעילה,הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1503,היחידה לקליטת חיילים,150302,הוצאות תפעול,15030201,אחזקת מבנים,תקנה פעילה,הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1503,היחידה לקליטת חיילים,150302,הוצאות תפעול,15030202,הוצאות תפעול שונות,תקנה פעילה,הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,321"
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1503,היחידה לקליטת חיילים,150302,הוצאות תפעול,15030203,רכישת שירותי מחשוב,תקנה פעילה,הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1503,היחידה לקליטת חיילים,150302,הוצאות תפעול,15030204,הפצות ופירסומים,תקנה פעילה,הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1503,היחידה לקליטת חיילים,150302,הוצאות תפעול,15030205,עבודות ביקורת,תקנה פעילה,הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1503,היחידה לקליטת חיילים,150302,הוצאות תפעול,15030206,הכנסות מבנקים,תקנה פעילה,הכנסה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1503,היחידה לקליטת חיילים,150303,מסלקה בנקאית,15030301,מסלקה בנקאית,תקנה פעילה,הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1510,תנופה 1,151001,תכנית,15100101,תנופה 12,"פש""ח",הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1530,"צה""ל לנגב",153001,תקציב פרוייקטי המעבר,15300102,"אמ""ן",תקנה פעילה,הוצאה,"296,143","94,737",0,0,0,0,0,"296,143","94,737",0,0,0,0,0,"215,845"
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1530,"צה""ל לנגב",153001,תקציב פרוייקטי המעבר,15300103,תקשוב,תקנה פעילה,הוצאה,"305,995","55,263",0,0,0,0,0,"305,995","55,263",0,0,0,0,0,"400,535"
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1530,"צה""ל לנגב",153001,תקציב פרוייקטי המעבר,15300104,הכנסות מגורמי חוץ,תקנה פעילה,הכנסה,0,0,"-150,000",0,0,0,0,0,0,"-150,000",0,0,0,0,"-128,704"
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1540,פינוי מחנות,154001,עלויות תכנון,15400101,עלויות תכנון,תקנה פעילה,הוצאה,"75,201","15,000",0,0,0,0,0,"75,201","15,000",0,0,0,0,0,"44,440"
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1540,פינוי מחנות,154001,עלויות תכנון,15400102,הכנסות ממינהל מקרקעי ישראל,תקנה פעילה,הכנסה,0,0,"-15,000",0,0,0,0,0,0,"-15,000",0,0,0,0,0
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1550,מעבר תעש לנגב,155001,תקצוב פרוייקט מעבר תעש,15500101,עלויות תכנון,תקנה פעילה,הוצאה,0,0,0,0,0,0,0,0,0,0,"80,000",0,0,0,0
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1599,חשבון מעבר,159999,חשבון מעבר,15999999,חשבון מעבר,תקנה פעילה,הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0701,תחום פעולה כללי-,070101,שיא כח אדם,07010101,שיא כוח אדם,"פש""ח",הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0701,תחום פעולה כללי-,070101,שיא כח אדם,07010102,"גילום מס על אש""ל","פש""ח",הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0701,תחום פעולה כללי-,070101,שיא כח אדם,07010103,עבודה בלתי צמיתה,"פש""ח",הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0701,תחום פעולה כללי-,070101,שיא כח אדם,07010104,בנות בשרות לאומי,"פש""ח",הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0701,תחום פעולה כללי-,070101,שיא כח אדם,07010105,כוננויות,"פש""ח",הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0701,תחום פעולה כללי-,070101,שיא כח אדם,07010106,החזר הוצאות רכב,"פש""ח",הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0701,תחום פעולה כללי-,070101,שיא כח אדם,07010107,שעות נוספות,"פש""ח",הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0701,תחום פעולה כללי-,070101,שיא כח אדם,07010108,הוצאות פרישה,"פש""ח",הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0701,תחום פעולה כללי-,070101,שיא כח אדם,07010109,שכר מושאלים למשרד לבטחון פנים,"פש""ח",הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0701,תחום פעולה כללי-,070101,שיא כח אדם,07010111,"העסקה לפי שעות - פרוייקט ""אזיקים אלקטרוניים""","פש""ח",הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0701,תחום פעולה כללי-,070101,שיא כח אדם,07010112,מתמחי ייעוץ משפטי,"פש""ח",הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0701,תחום פעולה כללי-,070101,שיא כח אדם,07010113,העסקת סטודנטים,"פש""ח",הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0701,תחום פעולה כללי-,070101,שיא כח אדם,07010114,הדרכה,"פש""ח",הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0701,תחום פעולה כללי-,070101,שיא כח אדם,07010115,שרות אזרחי ולאומי,"פש""ח",הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0701,תחום פעולה כללי-,070101,שיא כח אדם,07010116,"השתתפות במנהלת השירות ברוה""מ","פש""ח",הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0701,תחום פעולה כללי-,070101,שיא כח אדם,07010117,רזרבה לשרות אזרחי,"פש""ח",הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0701,תחום פעולה כללי-,070101,שיא כח אדם,07010120,עתודה לגיוס עתידי,"פש""ח",הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0701,תחום פעולה כללי-,070101,שיא כח אדם,07010121,עתודה להוצאות רכב,"פש""ח",הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0701,תחום פעולה כללי-,070101,שיא כח אדם,07010131,שכר עידוד,"פש""ח",הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0701,תחום פעולה כללי-,070101,שיא כח אדם,07010197,רזרבה לשכר נגדים,"פש""ח",הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0701,תחום פעולה כללי-,070103,שירותים מרכזיים,07010309,השתתפות משרד הרווחה,"פש""ח",הכנסה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0701,תחום פעולה כללי-,070103,שירותים מרכזיים,07010310,פרוייקט עיר ללא אלימות,"פש""ח",הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0701,תחום פעולה כללי-,070103,שירותים מרכזיים,07010313,"פעולות הסברה, עיתונות וקשרים בינלאומיים","פש""ח",הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0701,תחום פעולה כללי-,070103,שירותים מרכזיים,07010316,תמיכה מתקציב ועדת עזבונות,"פש""ח",הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0701,תחום פעולה כללי-,070103,שירותים מרכזיים,07010319,השתתפות האפוטרופוס,"פש""ח",הכנסה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0701,תחום פעולה כללי-,070103,שירותים מרכזיים,07010320,מחקר ופיתוח,"פש""ח",הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0701,תחום פעולה כללי-,070103,שירותים מרכזיים,07010321,"מחקר ופיתוח בשת""פ בינלאומי","פש""ח",הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0701,תחום פעולה כללי-,070103,שירותים מרכזיים,07010323,מצילה - תפעול והוצאות שוטפות,"פש""ח",הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0701,תחום פעולה כללי-,070103,שירותים מרכזיים,07010325,מיחשוב,"פש""ח",הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0701,תחום פעולה כללי-,070103,שירותים מרכזיים,07010326,משימות ורכישות בזרועות,"פש""ח",הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0701,תחום פעולה כללי-,070103,שירותים מרכזיים,07010327,קידום פרויקטים,"פש""ח",הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0701,תחום פעולה כללי-,070103,שירותים מרכזיים,07010330,השתתפות במשרד החינוך,"פש""ח",הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0701,תחום פעולה כללי-,070103,שירותים מרכזיים,07010380,השתתפות במשרד הביטחון,"פש""ח",הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0701,תחום פעולה כללי-,070103,שירותים מרכזיים,07010390,השתתפות במשרד הרווחה,"פש""ח",הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0701,תחום פעולה כללי-,070103,שירותים מרכזיים,07010397,הכנסות מגורמי חוץ,"פש""ח",הכנסה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
