שנה,מזהה רמה 1,שם רמה 1,מזהה רמה 2,שם רמה 2,קוד סעיף,שם סעיף,קוד תחום,שם תחום,קוד תוכנית,שם תוכנית,מקורי - נטו,מקורי - הוצאה מותנית,מקורי - הכנסה מיועדת,מקורי - הרשאה,מקורי - שיא כא,מקורי - עבצ
2015,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150102,תקציב הביטחון," 	50,622,550 "," 	7,321,789 "," 	-7,321,789 "," 	22,000,000 "," 	2,122 ", 	-00 
2015,1,בטחון וסדר ציבורי,13,בטחון-אחר,17,תאום הפעולות בשטחים,1731,המנהל האזרחי באזור,173101,מטה צבאי," 	20,686 "," 	10,000 "," 	-10,000 ", 	-00 , 	-00 , 	-00 
2015,1,בטחון וסדר ציבורי,13,בטחון-אחר,17,תאום הפעולות בשטחים,1731,המנהל האזרחי באזור,173102,שכר אזרחים, 	24 ," 	43,206 "," 	-43,206 ", 	-00 , 	156 , 	-00 
2015,1,בטחון וסדר ציבורי,13,בטחון-אחר,17,תאום הפעולות בשטחים,1731,המנהל האזרחי באזור,173103,מטה אזרחי," 	1,500 "," 	21,933 "," 	-21,933 ", 	-00 , 	-00 , 	-00 
2015,1,בטחון וסדר ציבורי,13,בטחון-אחר,17,תאום הפעולות בשטחים,1731,המנהל האזרחי באזור,173108,יחידת הפיקוח," 	15,904 ", 	-00 , 	-00 , 	-00 , 	56 , 	-00 
2015,1,בטחון וסדר ציבורי,13,בטחון-אחר,17,תאום הפעולות בשטחים,1732,מנהלת תיאום הפעולות,173201,מפקדה," 	46,236 ", 	200 , 	-200 , 	-00 , 	-00 , 	-00 
2015,1,בטחון וסדר ציבורי,13,בטחון-אחר,17,תאום הפעולות בשטחים,1733,מפקדת תיאום וקישור חבל,173301,מטה," 	4,220 ", 	450 , 	-450 , 	-00 , 	-00 , 	-00 
2015,1,בטחון וסדר ציבורי,13,בטחון-אחר,17,תאום הפעולות בשטחים,1733,מפקדת תיאום וקישור חבל,173302,שכר אזרחים," 	9,002 ", 	-00 , 	-00 , 	-00 , 	37 , 	-00 
2015,1,בטחון וסדר ציבורי,13,בטחון-אחר,17,תאום הפעולות בשטחים,1733,מפקדת תיאום וקישור חבל,173303,פעולות, 	143 , 	-00 , 	-00 , 	-00 , 	-00 , 	-00 
2015,1,בטחון וסדר ציבורי,13,בטחון-אחר,35,הועדה לאנרגיה אטומית,3501,הועדה לאנרגיה אטומית,350101,הועדה לאנרגיה אטומית," 	147,927 ", 	-00 , 	-00 , 	-00 , 	-00 , 	-00 
2015,1,בטחון וסדר ציבורי,13,בטחון-אחר,46,חוק חיילים משוחררים,4601,חוק חיילים משוחררים,460101,מענקי שיחרור," 	752,057 ", 	-00 , 	-00 , 	-00 , 	-00 , 	-00 
2015,1,בטחון וסדר ציבורי,13,בטחון-אחר,46,חוק חיילים משוחררים,4601,חוק חיילים משוחררים,460102,קרן פקדון," 	1,302,440 ", 	-00 , 	-00 , 	-00 , 	-00 , 	-00 
2015,1,בטחון וסדר ציבורי,13,בטחון-אחר,46,חוק חיילים משוחררים,4601,חוק חיילים משוחררים,460103,קרן לסיוע נוסף," 	99,428 ", 	-00 , 	-00 , 	-00 , 	-00 , 	-00 
2015,1,בטחון וסדר ציבורי,13,בטחון-אחר,46,חוק חיילים משוחררים,4601,חוק חיילים משוחררים,460108,רזרבה להתייקרויות," 	68,995 ", 	-00 , 	-00 , 	-00 , 	-00 , 	-00 
2015,1,בטחון וסדר ציבורי,13,בטחון-אחר,46,חוק חיילים משוחררים,4601,חוק חיילים משוחררים,460110,קרן לעידוד רכישת השכלה," 	62,584 ", 	-00 , 	-00 , 	-00 , 	-00 , 	-00 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2402,משרד ראשי,240201,שכר מטה," 	161,046 ", 	-00 , 	-00 , 	-00 , 	908 , 	802 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2402,משרד ראשי,240202,"פעולות מרכזיות - כ""א", 	976 , 	-00 , 	-00 , 	-00 , 	-00 , 	74 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2402,משרד ראשי,240210,מינהל ומשאבי אנוש," 	160,611 "," 	20,390 "," 	-20,390 ", 	-00 , 	-00 , 	-00 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2402,משרד ראשי,240212,מתמחים בפסיכולוגיה," 	24,030 ", 	-00 , 	-00 , 	-00 , 	-00 ," 	1,677 "
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2402,משרד ראשי,240220,חטיבת הבריאות," 	17,388 ", 	-00 , 	-00 , 	-00 , 	-00 , 	-00 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2402,משרד ראשי,240222,מינהל טכנולוגיות," 	21,506 "," 	13,588 "," 	-13,588 ", 	-00 , 	70 , 	28 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2402,משרד ראשי,240230,יחידות מטה," 	46,155 ", 	500 , 	-500 ," 	108,400 ", 	-00 , 	-00 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2402,משרד ראשי,240240,ויסות פעילויות, 	396 , 	-00 , 	-00 , 	-00 , 	3 , 	-00 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2402,משרד ראשי,240260,המרכז הלאומי לבקרת," 	7,021 ", 	-00 , 	-00 , 	-00 , 	43 , 	-00 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2402,משרד ראשי,240262,המכון הרפואי לבטיחות," 	5,560 "," 	18,584 "," 	-18,584 ", 	-00 , 	42 , 	17 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2402,משרד ראשי,240298,שירותי חירום," 	44,899 ", 	-00 , 	-00 , 	-00 , 	-00 , 	-00 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2402,משרד ראשי,240299,שעת חירום," 	13,379 ", 	321 , 	-321 , 	-00 , 	-00 , 	-00 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2404,"יחידות מסונפות לבתיה""ח",240403,הכשרת אחיות," 	60,039 "," 	9,995 "," 	-9,995 ", 	-00 , 	2 ," 	1,063 "
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2404,"יחידות מסונפות לבתיה""ח",240409,העסקת עולים," 	17,017 ", 	-00 , 	-00 , 	-00 , 	-00 , 	343 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2404,"יחידות מסונפות לבתיה""ח",240418,המכון לרפואה משפטית," 	10,010 "," 	1,275 "," 	-1,275 ", 	-00 , 	38 , 	84 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2404,"יחידות מסונפות לבתיה""ח",240422,בית ספר לאחיות צפת," 	1,690 "," 	1,022 "," 	-1,022 ", 	-00 , 	10 , 	5 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2404,"יחידות מסונפות לבתיה""ח",240424,מרכז הדרכה לאזור הצפון, 	496 , 	175 , 	-175 , 	-00 , 	3 , 	-00 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2404,"יחידות מסונפות לבתיה""ח",240425,"ביהס לטכנאי רנטגן-רמב""ם", 	389 , 	-00 , 	-00 , 	-00 , 	3 , 	-00 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2404,"יחידות מסונפות לבתיה""ח",240426,"עירוני ממשלתי חיפה ע""ש", 	71 ," 	1,400 "," 	-1,400 ", 	-00 , 	15 , 	5 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2404,"יחידות מסונפות לבתיה""ח",240429,"ע""ש מטיוס חדרה - בי""ס"," 	1,675 "," 	1,013 "," 	-1,013 ", 	-00 , 	10 , 	-00 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2404,"יחידות מסונפות לבתיה""ח",240430,"ע""ש שינבורן-מרכז רפואי", 	523 ," 	1,371 "," 	-1,371 ", 	-00 , 	18 , 	-00 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2404,"יחידות מסונפות לבתיה""ח",240431,מרכז רפואי עירוני, 	239 , 	-00 , 	-00 , 	-00 , 	1 , 	-00 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2404,"יחידות מסונפות לבתיה""ח",240434,"ביה""ח תל-השומר בי""ס"," 	2,934 "," 	1,586 "," 	-1,586 ", 	-00 , 	17 , 	-00 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2404,"יחידות מסונפות לבתיה""ח",240440,וולפסון תל גיבורים," 	2,666 ", 	904 , 	-904 , 	-00 , 	16 , 	-00 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2404,"יחידות מסונפות לבתיה""ח",240442,"אסף הרופא בי""ס לאחיות"," 	3,642 ", 	687 , 	-687 , 	-00 , 	14 , 	-00 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2404,"יחידות מסונפות לבתיה""ח",240443,אסף הרופא בית ספר, 	191 , 	-00 , 	-00 , 	-00 , 	2 , 	-00 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2404,"יחידות מסונפות לבתיה""ח",240446,אסף הרופא- תל השומר," 	1,127 ", 	-00 , 	-00 , 	-00 , 	9 , 	-00 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2404,"יחידות מסונפות לבתיה""ח",240450,בית ספר לאחיות אשקלון," 	2,803 "," 	1,600 "," 	-1,600 ", 	-00 , 	19 , 	5 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2404,"יחידות מסונפות לבתיה""ח",240462,המופיליה, 	969 , 	-00 , 	-00 , 	-00 , 	6 , 	29 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2404,"יחידות מסונפות לבתיה""ח",240463,הסדר התמחות רופאים," 	2,994 ", 	-00 , 	-00 , 	-00 , 	22 , 	-00 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2404,"יחידות מסונפות לבתיה""ח",240464,מידע על הרעלות, 	723 , 	-00 , 	-00 , 	-00 , 	5 , 	-00 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2404,"יחידות מסונפות לבתיה""ח",240470,מכון לרעלים תל השומר," 	1,797 ", 	205 , 	-205 , 	-00 , 	9 , 	-00 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2407,מינהל רפואה,240707,מינהל הרפואה," 	195,908 "," 	8,759 "," 	-8,759 ", 	-00 , 	-00 , 	-00 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2407,מינהל רפואה,240708,העסקת מתמחים," 	50,089 ", 	-00 , 	-00 , 	-00 , 	-00 ," 	4,599 "
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2407,מינהל רפואה,240710,האגף לגריאטריה," 	1,471,848 "," 	662,746 "," 	-662,746 ", 	-00 , 	-00 , 	-00 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2407,מינהל רפואה,240713,שירותי בריאות הנפש," 	1,306,888 "," 	23,462 "," 	-23,462 ", 	-00 , 	-00 , 	-00 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2407,מינהל רפואה,240723,בריאות השן," 	39,485 ", 	718 , 	-718 , 	-00 , 	-00 , 	-00 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2407,מינהל רפואה,240740,רזרבה," 	82,889 ", 	-00 , 	-00 , 	-00 , 	-00 , 	-00 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2416,בריאות הציבור,241601,מטה בריאות הציבור," 	517,857 "," 	34,654 "," 	-34,654 "," 	216,155 ", 	-00 , 	-00 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2416,בריאות הציבור,241605,שיקום שכונות," 	4,120 ", 	-00 , 	-00 , 	-00 , 	15 , 	-00 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2416,בריאות הציבור,241621,מעבדות בריאות הציבור," 	12,795 "," 	13,216 "," 	-13,216 ", 	-00 , 	61 , 	3 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2416,בריאות הציבור,241622,תל השומר - מעבדה מרכזית," 	9,316 ", 	508 , 	-508 , 	-00 , 	46 , 	-00 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2416,בריאות הציבור,241626,מעבדות מרכזיות ירושלים," 	7,407 "," 	2,053 "," 	-2,053 ", 	-00 , 	40 , 	13 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2416,בריאות הציבור,241636,לשכת הבריאות מחוז צפון," 	106,153 "," 	1,860 "," 	-1,860 ", 	-00 , 	492 , 	80 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2416,בריאות הציבור,241641,לשכת הבריאות מחוז חיפה," 	81,680 "," 	13,113 "," 	-13,113 ", 	-00 , 	403 , 	29 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2416,בריאות הציבור,241642,חיפה - תחנה להתפתחות," 	1,958 ", 	-00 , 	-00 , 	-00 , 	10 , 	-00 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2416,בריאות הציבור,241646,"לשכת בריאות מחוז ת""א"," 	59,580 "," 	4,000 "," 	-4,000 ", 	-00 , 	283 , 	6 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2416,בריאות הציבור,241651,לשכת בריאות מחוז מרכז," 	91,304 "," 	7,000 "," 	-7,000 ", 	-00 , 	455 , 	18 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2416,בריאות הציבור,241656,לשכת בריאות מחוז י-ם," 	37,933 "," 	2,000 "," 	-2,000 ", 	-00 , 	180 , 	62 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2416,בריאות הציבור,241661,לשכת הבריאות מחוז," 	28,262 "," 	13,000 "," 	-13,000 ", 	-00 , 	166 , 	57 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2416,בריאות הציבור,241666,לשכת הבריאות מחוז דרום," 	68,990 "," 	4,021 "," 	-4,021 ", 	-00 , 	347 , 	118 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2416,בריאות הציבור,241685,"תלמ""ר לשכת דרום"," 	1,203 ", 	-00 , 	-00 , 	-00 , 	4 , 	8 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2419,העברות למוסדות,241920,תמיכות והעברות לבתי," 	2,073,681 ", 	-00 , 	-00 , 	-00 , 	-00 , 	-00 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2419,העברות למוסדות,241930,תמיכות בארגונים," 	8,114 ", 	-00 , 	-00 , 	-00 , 	-00 , 	-00 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2419,העברות למוסדות,241950,רזרבה להתייקרויות," 	147,086 ", 	-00 , 	-00 , 	-00 , 	-00 , 	-00 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2420,חוק ביטוח בריאות ממלכתי,242003,השלמת עלות סל שירותי," 	20,256,292 ", 	-00 , 	-00 , 	-00 , 	-00 , 	-00 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2430,רזרבה להתיקרויות,243010,רזרבה להתיקרויות שכר," 	27,398 ", 	-00 , 	-00 , 	-00 , 	-00 , 	-00 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2430,רזרבה להתיקרויות,243020,רזרבה להתיקרויות- קניות," 	124,840 ", 	-00 , 	-00 , 	-00 , 	-00 , 	-00 
2015,2,שירותים חברתיים,21,בריאות,24,משרד הבריאות,2431,עתודה להסכמי תקינה,243110,עתודה להסכמי תקינה," 	58,758 ", 	-00 , 	-00 , 	-00 , 	8 ," 	3,900 "
2015,2,שירותים חברתיים,21,בריאות,67,משרד הבריאות,6702,בנית מבנים לשרותים,670202,"ביה""ח ממשלתיים"," 	63,646 "," 	25,000 "," 	-25,000 "," 	113,836 ", 	-00 , 	-00 
2015,2,שירותים חברתיים,21,בריאות,67,משרד הבריאות,6702,בנית מבנים לשרותים,670203,מוסדות ציבוריים, 	707 , 	-00 , 	-00 , 	-00 , 	-00 , 	-00 
2015,2,שירותים חברתיים,21,בריאות,67,משרד הבריאות,6702,בנית מבנים לשרותים,670205,תשתיות לשילוב חולי נפש, 	475 , 	-00 , 	-00 , 	-00 , 	-00 , 	-00 
2015,2,שירותים חברתיים,21,בריאות,67,משרד הבריאות,6702,בנית מבנים לשרותים,670206,תוכנית חיזוק הצפון," 	20,000 "," 	15,000 "," 	-15,000 "," 	60,000 ", 	-00 , 	-00 
2015,2,שירותים חברתיים,21,בריאות,67,משרד הבריאות,6703,תשתיות,670301,תכנון," 	1,104 ", 	-00 , 	-00 , 	-00 , 	-00 , 	-00 
2015,2,שירותים חברתיים,21,בריאות,67,משרד הבריאות,6703,תשתיות,670302,סקטור ממשלתי," 	75,869 ", 	-00 , 	-00 ," 	113,512 ", 	-00 , 	-00 
2015,2,שירותים חברתיים,21,בריאות,67,משרד הבריאות,6705,פרוייקט מיחשוב מרכזי,670501,פרוייקט מיחשוב מרכזי," 	13,005 "," 	4,311 "," 	-4,311 "," 	17,548 ", 	-00 , 	-00 
2015,2,שירותים חברתיים,21,בריאות,67,משרד הבריאות,6706,רזרבה,670601,רזרבה להתייקרויות," 	1,868 ", 	-00 , 	-00 , 	-00 , 	-00 , 	-00 
2015,2,שירותים חברתיים,21,בריאות,67,משרד הבריאות,6719,תמיכה בארגונים רפואים,671906,תמיכה בפיתוח תשתיות," 	339,988 ", 	-00 , 	-00 ," 	140,321 ", 	-00 , 	-00 
2015,2,שירותים חברתיים,21,בריאות,93,"בתי""ח פסיכיאטרים",9301,מרכז רפואי מזרע,930101,שכר ונלוות," 	115,245 ", 	-00 , 	-00 , 	-00 , 	442 , 	47 
