שנה,קוד רמה 1,שם רמה 1,קוד ושם רמה 1,קוד רמה 2,שם רמה 2,קוד ושם רמה 2,קוד סוג סעיף,שם סוג סעיף,קוד סעיף,שם סעיף,קוד ושם סעיף,קוד תחום,שם תחום,קוד ושם תחום,קוד תכנית,שם תכנית,קוד ושם תכנית,קוד מיון רמה 1,שם מיון רמה 1,קוד ושם מיון רמה 1,קוד מיון רמה 2,שם מיון רמה 2,קוד ושם מיון רמה 2,הוצאה/הכנסה,סוג תקציב,הוצאה נטו,הוצאה מותנית בהכנסה,הכנסה מיועדת,הרשאה להתחייב,שיא כח אדם,עבצ,כמות
2016,4,משרדי מטה,4-משרדי מטה,41,ראש הממשלה,41-ראש הממשלה,1,תקציב רגיל,04      ,משרד ראש הממשלה,04      -משרד ראש הממשלה,0406    ,השלמת טיפול במפוני,0406    -השלמת טיפול במפוני,040614  ,מימון פעולות משרדי,040614  -מימון פעולות משרדי,019,העברות  פנים תקציביות,019-העברות  פנים תקציביות,301,הפחתות,301-הפחתות,הוצאה,מקורי,0,0,0,0,0,0,0
2016,2,שירותים חברתיים,2-שירותים חברתיים,22,חינוך,22-חינוך,1,תקציב רגיל,20      ,משרד החינוך,20      -משרד החינוך,2045    ,חינוך התיישבותי,2045    -חינוך התיישבותי,204503  ,חטיבות ביניים בחינוך,204503  -חטיבות ביניים בחינוך,001,שכר,001-שכר,030,שכר בארץ,030-שכר בארץ,הוצאה,מקורי,491496,48000,0,0,0,0,59438
2016,1,בטחון וסדר ציבורי,1-בטחון וסדר ציבורי,13,בטחון-אחר,13-בטחון-אחר,1,תקציב רגיל,17      ,תאום הפעולות בשטחים,17      -תאום הפעולות בשטחים,1799    ,חשבון מעבר,1799    -חשבון מעבר,179999  ,חשבון מעבר,179999  -חשבון מעבר,028,חשבונות מעבר,028-חשבונות מעבר,095,חשבונות מעבר,095-חשבונות מעבר,הוצאה,מקורי,0,0,0,0,0,0,0
2016,1,בטחון וסדר ציבורי,1-בטחון וסדר ציבורי,12,בטחון פנים,12-בטחון פנים,1,תקציב רגיל,07      ,משרד לביטחון פנים,07      -משרד לביטחון פנים,0780    ,משטרת ישראל,0780    -משטרת ישראל,078008  ,גמלאות משטרה,078008  -גמלאות משטרה,001,שכר,001-שכר,104,רזרבה,104-רזרבה,הוצאה,מקורי,83254,0,0,0,0,0,0
2016,7,הוצאות אחרות,7-הוצאות אחרות,73,רזרבה,73-רזרבה,7,רזרבות,47      ,רזרבה כללית,47      -רזרבה כללית,4701    ,רזרבה כללית,4701    -רזרבה כללית,470101  ,רזרבה כללית,470101  -רזרבה כללית,006,רזרבות,006-רזרבות,046,רזרבה כללית,046-רזרבה כללית,הוצאה,מקורי,7998972,0,0,10000000,325,0,3900
2016,4,משרדי מטה,4-משרדי מטה,41,ראש הממשלה,41-ראש הממשלה,1,תקציב רגיל,04      ,משרד ראש הממשלה,04      -משרד ראש הממשלה,0406    ,השלמת טיפול במפוני,0406    -השלמת טיפול במפוני,040614  ,מימון פעולות משרדי,040614  -מימון פעולות משרדי,003,העברות,003-העברות,031,מוצרים ציבוריים,031-מוצרים ציבוריים,הוצאה,מקורי,0,0,0,0,0,0,0
2016,5,ענפי משק,5-ענפי משק,51,תיירות,51-תיירות,1,תקציב רגיל,37      ,משרד התיירות,37      -משרד התיירות,3704    ,פעולות תכנון וכלכלה,3704    -פעולות תכנון וכלכלה,370408  ,"אסטרטגיה, מדיניות,","370408  -אסטרטגיה, מדיניות,",002,קניות,002-קניות,033,קניות בארץ,033-קניות בארץ,הוצאה,מקורי,18069,0,0,0,0,0,0
2016,2,שירותים חברתיים,2-שירותים חברתיים,21,בריאות,21-בריאות,1,תקציב רגיל,24      ,משרד הבריאות,24      -משרד הבריאות,2402    ,משרד ראשי,2402    -משרד ראשי,240210  ,מינהל ומשאבי אנוש,240210  -מינהל ומשאבי אנוש,004,הכנסות מיועדות,004-הכנסות מיועדות,041,הכנסות תקציב רגיל,041-הכנסות תקציב רגיל,הכנסה,מקורי,0,0,0,0,0,0,0
2016,2,שירותים חברתיים,2-שירותים חברתיים,21,בריאות,21-בריאות,1,תקציב רגיל,24      ,משרד הבריאות,24      -משרד הבריאות,2416    ,שירותי בריאות הציבור,2416    -שירותי בריאות הציבור,241690  ,לשכות הבריאות,241690  -לשכות הבריאות,001,שכר,001-שכר,030,שכר בארץ,030-שכר בארץ,הוצאה,מקורי,465312,16250,0,0,2339,378,596187
2016,5,ענפי משק,5-ענפי משק,53,תעשיה ותעסוקה,53-תעשיה ותעסוקה,1,תקציב רגיל,36      ,משרד הכלכלה,36      -משרד הכלכלה,3644    ,הכשרה מקצועית -,3644    -הכשרה מקצועית -,364405  ,הכשרת נוער - בתי,364405  -הכשרת נוער - בתי,002,קניות,002-קניות,033,קניות בארץ,033-קניות בארץ,הוצאה,מקורי,39703,0,0,0,0,0,0
2016,2,שירותים חברתיים,2-שירותים חברתיים,21,בריאות,21-בריאות,5,מפעלים עסקיים,93      ,"בתי""ח פסיכיאטרים","93      -בתי""ח פסיכיאטרים",9305    ,מרכז רפואי בת ים,9305    -מרכז רפואי בת ים,930502  ,קניות,930502  -קניות,002,קניות,002-קניות,033,קניות בארץ,033-קניות בארץ,הוצאה,מקורי,0,0,0,0,0,0,0
2016,2,שירותים חברתיים,2-שירותים חברתיים,21,בריאות,21-בריאות,1,תקציב רגיל,24      ,משרד הבריאות,24      -משרד הבריאות,2407    ,רכש שירותי בריאות,2407    -רכש שירותי בריאות,240707  ,מינהל הרפואה,240707  -מינהל הרפואה,002,קניות,002-קניות,033,קניות בארץ,033-קניות בארץ,הוצאה,מקורי,0,0,0,0,0,0,0
2016,5,ענפי משק,5-ענפי משק,53,תעשיה ותעסוקה,53-תעשיה ותעסוקה,1,תקציב רגיל,36      ,משרד הכלכלה,36      -משרד הכלכלה,3643    ,שירות התעסוקה,3643    -שירות התעסוקה,364301  ,שכר,364301  -שכר,001,שכר,001-שכר,030,שכר בארץ,030-שכר בארץ,הוצאה,מקורי,103219,0,0,0,517,120,162443
2016,4,משרדי מטה,4-משרדי מטה,42,אוצר,42-אוצר,1,תקציב רגיל,05      ,משרד האוצר,05      -משרד האוצר,0551    ,משרד האוצר ראשי,0551    -משרד האוצר ראשי,055109  ,הלשכה לפיצויים אישיים,055109  -הלשכה לפיצויים אישיים,001,שכר,001-שכר,030,שכר בארץ,030-שכר בארץ,הוצאה,מקורי,8,4458,0,0,15,30,7670
2016,2,שירותים חברתיים,2-שירותים חברתיים,25,העברות לביטוח הלאומי,25-העברות לביטוח הלאומי,1,תקציב רגיל,27      ,ביטוח לאומי,27      -ביטוח לאומי,2712    ,תשלומי העברה במימון,2712    -תשלומי העברה במימון,271202  ,הסכמים סעיף 9,271202  -הסכמים סעיף 9,003,העברות,003-העברות,034,תשלומי העברה סוציאליים,034-תשלומי העברה סוציאליים,הוצאה,מקורי,3272956,0,0,0,0,0,0
2016,2,שירותים חברתיים,2-שירותים חברתיים,24,רווחה,24-רווחה,1,תקציב רגיל,23      ,משרד הרווחה והשירותים,23      -משרד הרווחה והשירותים,2311    ,נוער צעירים ושירותי,2311    -נוער צעירים ושירותי,231134  ,השירות לשיקום נוער,231134  -השירות לשיקום נוער,002,קניות,002-קניות,033,קניות בארץ,033-קניות בארץ,הוצאה,מקורי,23797,8183,0,0,0,0,0
2016,4,משרדי מטה,4-משרדי מטה,43,משפטים,43-משפטים,1,תקציב רגיל,08      ,משרד המשפטים,08      -משרד המשפטים,0851    ,משרד ראשי,0851    -משרד ראשי,085113  ,השמאי הממשלתי,085113  -השמאי הממשלתי,001,שכר,001-שכר,030,שכר בארץ,030-שכר בארץ,הוצאה,מקורי,4640,1958,0,0,37,0,0
2016,1,בטחון וסדר ציבורי,1-בטחון וסדר ציבורי,12,בטחון פנים,12-בטחון פנים,2,תקציב פיתוח,52      ,פיתוח המשרד לביטחון-,52      -פיתוח המשרד לביטחון-,5250    ,פיתוח - משטרה,5250    -פיתוח - משטרה,525002  ,פרוייקטים במחשוב,525002  -פרוייקטים במחשוב,007,השקעה,007-השקעה,047,השקעה בארץ,047-השקעה בארץ,הוצאה,מקורי,167534,30400,0,194179,0,0,0
2016,5,ענפי משק,5-ענפי משק,53,תעשיה ותעסוקה,53-תעשיה ותעסוקה,1,תקציב רגיל,38      ,תמיכות בענפי המשק,38      -תמיכות בענפי המשק,3830    ,המדען הראשי,3830    -המדען הראשי,383003  ,"תשתיות מו""פ","383003  -תשתיות מו""פ",003,העברות,003-העברות,038,סובסידיה,038-סובסידיה,הוצאה,מקורי,35500,0,0,15000,0,0,0
2016,5,ענפי משק,5-ענפי משק,51,תיירות,51-תיירות,2,תקציב פיתוח,78      ,פיתוח תיירות,78      -פיתוח תיירות,7804    ,סיוע לתעשיית התיירות,7804    -סיוע לתעשיית התיירות,780401  ,סיוע לתעשיית התיירות,780401  -סיוע לתעשיית התיירות,007,השקעה,007-השקעה,047,השקעה בארץ,047-השקעה בארץ,הוצאה,מקורי,100000,0,0,0,0,0,0
2016,5,ענפי משק,5-ענפי משק,52,חקלאות,52-חקלאות,1,תקציב רגיל,32      ,תמיכות שונות,32      -תמיכות שונות,3250    ,תמיכות בחקלאות,3250    -תמיכות בחקלאות,325004  ,תמיכות שנתיות שונות,325004  -תמיכות שנתיות שונות,003,העברות,003-העברות,038,סובסידיה,038-סובסידיה,הוצאה,מקורי,0,0,0,0,0,0,0
2016,4,משרדי מטה,4-משרדי מטה,43,משפטים,43-משפטים,1,תקציב רגיל,08      ,משרד המשפטים,08      -משרד המשפטים,0853    ,בתי הדין הרבניים,0853    -בתי הדין הרבניים,085301  ,בתי הדין,085301  -בתי הדין,002,קניות,002-קניות,033,קניות בארץ,033-קניות בארץ,הוצאה,מקורי,0,0,0,0,0,0,0
2016,3,תשתיות,3-תשתיות,31,תחבורה,31-תחבורה,1,תקציב רגיל,40      ,משרד התחבורה והבטיחות,40      -משרד התחבורה והבטיחות,4053    ,בטיחות בדרכים,4053    -בטיחות בדרכים,405301  ,הרשות לבטיחות בדרכים,405301  -הרשות לבטיחות בדרכים,019,העברות  פנים תקציביות,019-העברות  פנים תקציביות,300,השתתפויות,300-השתתפויות,הוצאה,מקורי,41723,0,0,0,0,0,0
2016,5,ענפי משק,5-ענפי משק,51,תיירות,51-תיירות,1,תקציב רגיל,37      ,משרד התיירות,37      -משרד התיירות,3703    ,המינהל לשיווק התיירות,3703    -המינהל לשיווק התיירות,370304  ,שיווק תיירות בישראל,370304  -שיווק תיירות בישראל,002,קניות,002-קניות,033,קניות בארץ,033-קניות בארץ,הוצאה,מקורי,16636,40,0,0,0,0,0
2016,2,שירותים חברתיים,2-שירותים חברתיים,22,חינוך,22-חינוך,1,תקציב רגיל,20      ,משרד החינוך,20      -משרד החינוך,2046    ,תכניות חינוכיות משלימות,2046    -תכניות חינוכיות משלימות,204606  ,"תקשוב,טכנולוגיה ומדעים","204606  -תקשוב,טכנולוגיה ומדעים",003,העברות,003-העברות,029,שכר עקיף,029-שכר עקיף,הוצאה,מקורי,29094,0,0,0,0,0,0
2016,8,הכנסות,8-הכנסות,84,הכנסות אחרות,84-הכנסות אחרות,4,הכנסות המדינה,00      ,הכנסות המדינה,00      -הכנסות המדינה,0041    ,ריבית מבנק ישראל,0041    -ריבית מבנק ישראל,004101  ,ריבית מבנק ישראל,004101  -ריבית מבנק ישראל,024,הכנסות המדינה - בנק ישראל,024-הכנסות המדינה - בנק ישראל,089,בנק ישראל,089-בנק ישראל,הכנסה,מקורי,0,0,0,0,0,0,0
2016,3,תשתיות,3-תשתיות,34,בינוי ושיכון,34-בינוי ושיכון,2,תקציב פיתוח,70      ,שיכון,70      -שיכון,7002    ,בנייה חדשה,7002    -בנייה חדשה,700216  ,חברות מתכננות,700216  -חברות מתכננות,007,השקעה,007-השקעה,047,השקעה בארץ,047-השקעה בארץ,הוצאה,מקורי,14501,0,0,78200,0,0,0
2016,5,ענפי משק,5-ענפי משק,54,הגנת הסביבה,54-הגנת הסביבה,1,תקציב רגיל,26      ,המשרד להגנת הסביבה,26      -המשרד להגנת הסביבה,2613    ,קרנות,2613    -קרנות,261304  ,הקרן למניעת זיהום הים,261304  -הקרן למניעת זיהום הים,001,שכר,001-שכר,030,שכר בארץ,030-שכר בארץ,הוצאה,מקורי,0,9120,0,0,18,48,2315
2016,2,שירותים חברתיים,2-שירותים חברתיים,24,רווחה,24-רווחה,1,תקציב רגיל,23      ,משרד הרווחה והשירותים,23      -משרד הרווחה והשירותים,2306    ,אגף השיקום,2306    -אגף השיקום,230621  ,נכים במסגרות חוץ,230621  -נכים במסגרות חוץ,002,קניות,002-קניות,033,קניות בארץ,033-קניות בארץ,הוצאה,מקורי,236257,165840,0,0,0,0,0
2016,1,בטחון וסדר ציבורי,1-בטחון וסדר ציבורי,11,בטחון,11-בטחון,1,תקציב רגיל,15      ,משרד הבטחון,15      -משרד הבטחון,1501    ,בטחון,1501    -בטחון,150102  ,תקציב הביטחון,150102  -תקציב הביטחון,001,שכר,001-שכר,104,רזרבה,104-רזרבה,הוצאה,מקורי,885125,0,0,0,0,0,0
