שם חברה,תאור של ארגון רכש,תקנה תקציבית,תיאור תקנה תקציבית,הזמנת רכש,מטרת התקשרות,תאריך יצירת ההזמנה,סיום תקופת תוקף,קוד ספק,שם הספק,"ערך ההזמנה כולל מע""מ",מטבע,"ביצוע חשבוניות במטבע מקומי כולל מע""מ והצ",אופן רכישה,"מס' פנייה במנו""ף/מנור""",סיבת פטור,הזמנה רגישה
רשות האוכלוסין וההגירה,רשות ההגירה,68110113,"הדרכה, רווחה ושכר",4501008274,הכשרה מטעם נציבות שירות המדינה,01-20-15,,0010000020,משרד ראש הממשלה,170,ILS,170,אחר,,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120110,הוצאות תפעול,4501008545,נייר צילום A-4 מנהל אכיפה וזרים,01-20-15,,0040001212,"שחר - מוצרי נייר בע""מ",19452.3,ILS,19452.3,פטור ממכרז,521424,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110233,הוצאות תפעול ומחשוב,4501008806,נקודות תקשורת באתרי הרשות,01-20-15,,0040514141,"מגלקום בע""מ",49575.24,ILS,30873.09,תקנה 14ב - מכרז מרכזי,16.3.14,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120110,הוצאות תפעול,4501008816,ריהוט לאכיפה,01-20-15,,0040003692,"טופ-ליין יבוא ושיווק רהיטים בע""מ",1237.6300000000001,ILS,956.74,תקנה 14ב - מכרז מרכזי,537946,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501009119,מנוי,01-21-15,,0040001158,"גלובס פבלישר עתונות (1983) בע""מ",2234.04,ILS,1656.72,פטור ממכרז,9999,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501009155,מנוי חודשי לעיתונות 2 סוגי עיתון,01-21-15,,0040001037,"הוצאת עתון הארץ בע""מ",6114.69,ILS,5267.52,תקנה 14ב - מכרז מרכזי,9999,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501009279,חניות,01-21-15,12-31-15,0040187387,"חניוני הצלחה בע""מ",62700.480000000003,ILS,15675.12,תקנה 14ב - מכרז מרכזי,מנהל הדיור,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110233,הוצאות תפעול ומחשוב,4501009299,"חוברות דין וחשבון חצי שנתי וחוברות דו""ח מסכם",01-21-15,,0010000173,המדפיס הממשלתי,7800,ILS,7800,פטור ממכרז,9999,תקנה 3(5) - חברה ממשלתית,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110233,הוצאות תפעול ומחשוב,4501009406,ריהוט,01-21-15,,0040003692,"טופ-ליין יבוא ושיווק רהיטים בע""מ",70013.06,ILS,65259.7,תקנה 14ב - מכרז מרכזי,537946,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501009557,ליווי לטובת הפקדת אגרות,01-22-15,,0040243195,מוניות המדע רחובות אגודה שיתופית בע,4759.5600000000004,ILS,2579.69,פטור ממכרז,אט,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501009621,עבודות חשמל,01-22-15,,0040243011,"ב.ש. צפת אחזקות בע""מ",1918.8,ILS,1935.2,תקנה 14ב - מכרז מרכזי,נוהל חריגי חוזה שכירות של מינהל הדיור,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501009642,בדיקת בטיחות מעלית,01-22-15,,0040566656,"חינגה מהנדסים בע""מ",1862.64,ILS,1874.58,פטור ממכרז,9999,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501009757,פריסת תשתית,01-22-15,,0040819767,"בן שמחון גיא בע""מ",17192.599999999999,ILS,17192.599999999999,פטור ממכרז,9999,תקנה 3(29) - ספק יחיד,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68130105,הוצאות תפעול,4501009973,"חניות לטובת עובדי נתב""ג",01-22-15,12-31-15,0040192703,"ימית א. בטחון (1998) בע""מ",172906.76,ILS,128145.34,פטור ממכרז,9999,תקנה 3(14א)(א) - זכויות במקרקעין-מיקום מיוחד או תכונה ייחודי,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120110,הוצאות תפעול,4501009973,"חניות לטובת עובדי נתב""ג",01-22-15,12-31-15,0040192703,"ימית א. בטחון (1998) בע""מ",141600,ILS,141600,פטור ממכרז,9999,תקנה 3(14א)(א) - זכויות במקרקעין-מיקום מיוחד או תכונה ייחודי,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501010258,תוספת של תשתיות תקשורת וחשמל במושכר,01-25-15,,0040003278,"אורן - הסלע בניה והשקעות בע""מ",47082,ILS,42952,תקנה 14ב - מכרז מרכזי,9999,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501011242,יועץ בטיחות לקראת בינוי,01-26-15,,0040141077,"גלטל ת""א - הנדסת בטיחות (1998) בע""מ",2950,ILS,2950,פטור ממכרז,,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501011624,ארנונה לשנת 2015,01-26-15,12-31-15,0020000244,עירית צפת,50000,ILS,48182.400000000001,אחר,מדובר על תשלום לעיריה לטובת נכס רשות,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501011669,ארנונה לשנת 2015,01-26-15,12-31-15,0020000159,עירית ירושלים,1723600,ILS,1723500.19,אחר,מדובר על תשלום לעיריה לטובת נכס רשות,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110233,הוצאות תפעול ומחשוב,4501011669,ארנונה לשנת 2015,01-26-15,12-31-15,0020000159,עירית ירושלים,120000,ILS,10795.14,אחר,מדובר על תשלום לעיריה לטובת נכס רשות,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120311,הוצאות תפעול,4501011669,ארנונה לשנת 2015,01-26-15,12-31-15,0020000159,עירית ירושלים,360000,ILS,346510.7,אחר,מדובר על תשלום לעיריה לטובת נכס רשות,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120311,הוצאות תפעול,4501011706,ארנונה+שמירה לשנת 2015,01-26-15,12-31-15,0020000223,עירית חדרה,14000,ILS,13313.2,אחר,מדובר על תשלום לעיריה לטובת נכס רשות,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501011706,ארנונה+שמירה לשנת 2015,01-26-15,12-31-15,0020000223,עירית חדרה,50000,ILS,47506.6,אחר,מדובר על תשלום לעיריה לטובת נכס רשות,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120110,הוצאות תפעול,4501011706,ארנונה+שמירה לשנת 2015,01-26-15,12-31-15,0020000223,עירית חדרה,109500,ILS,108632.7,אחר,מדובר על תשלום לעיריה לטובת נכס רשות,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501011720,ארנונה לשנת 2015,01-26-15,12-31-15,0020000100,עירית נצרת עילית,327000,ILS,326664.82,אחר,מדובר על תשלום לעיריה לטובת נכס רשות,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120110,הוצאות תפעול,4501011754,ציוד משקי,01-26-15,,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",2338.67,ILS,2224.3000000000002,תקנה 1ב - מכרז פומבי רגיל,מכרז פומבי ציוד משקי,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120110,הוצאות תפעול,4501011810,ריהוט מנהל אכיפה וזרים,01-27-15,,0040003692,"טופ-ליין יבוא ושיווק רהיטים בע""מ",5628.43,ILS,0,פטור ממכרז,,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110114,השתתפות במנהל הדיור,4501011849,השתתפות מינהל הדיור 2015,01-27-15,12-31-15,0010000192,מינהל הדיור הממשלתי,19620354,ILS,18366599.629999999,התקשרות עם גופים ממשלתיים,מינהל הדיור,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110236,השתתפות במנהל הדיור,4501011849,השתתפות מינהל הדיור 2015,01-27-15,12-31-15,0010000192,מינהל הדיור הממשלתי,473000,ILS,473000,התקשרות עם גופים ממשלתיים,מינהל הדיור,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120112,השתתפות במנהל הדיור,4501011849,השתתפות מינהל הדיור 2015,01-27-15,12-31-15,0010000192,מינהל הדיור הממשלתי,3963374,ILS,3330518.22,התקשרות עם גופים ממשלתיים,מינהל הדיור,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68130109,השתתפות מנהל הדיור,4501011849,השתתפות מינהל הדיור 2015,01-27-15,12-31-15,0010000192,מינהל הדיור הממשלתי,1828159,ILS,1674999.65,התקשרות עם גופים ממשלתיים,מינהל הדיור,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120314,השתתפות במנהל הדיור,4501011849,השתתפות מינהל הדיור 2015,01-27-15,12-31-15,0010000192,מינהל הדיור הממשלתי,2160703,ILS,1904895.27,התקשרות עם גופים ממשלתיים,מינהל הדיור,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110115,השתתפות במנהל הרכב,4501011875,השתתפויות מינהל הרכב 2015,01-27-15,12-31-15,0010000193,מינהל הרכב הממשלתי,1613000,ILS,873797.52,התקשרות עם גופים ממשלתיים,השתתפויות מינהל הרכב 2015,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68130110,השתתפות במנהל הרכב,4501011875,השתתפויות מינהל הרכב 2015,01-27-15,12-31-15,0010000193,מינהל הרכב הממשלתי,312000,ILS,312000,התקשרות עם גופים ממשלתיים,השתתפויות מינהל הרכב 2015,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120113,השתתפות במנהל הרכב,4501011875,השתתפויות מינהל הרכב 2015,01-27-15,12-31-15,0010000193,מינהל הרכב הממשלתי,2045957,ILS,2045913.53,התקשרות עם גופים ממשלתיים,השתתפויות מינהל הרכב 2015,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501011938,הפקת תלושי שכר לעובדי הרשות 2015 .,01-27-15,12-31-15,0040001612,"מלם מערכות בע""מ",182959,ILS,223742.02,פטור ממכרז,הפקת תלושי שכר,לא בשימוש,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110233,הוצאות תפעול ומחשוב,4501011938,הפקת תלושי שכר לעובדי הרשות 2015 .,01-27-15,12-31-15,0040001612,"מלם מערכות בע""מ",52274,ILS,52274,פטור ממכרז,הפקת תלושי שכר,לא בשימוש,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120110,הוצאות תפעול,4501011938,הפקת תלושי שכר לעובדי הרשות 2015 .,01-27-15,12-31-15,0040001612,"מלם מערכות בע""מ",130685,ILS,130685.01,פטור ממכרז,הפקת תלושי שכר,לא בשימוש,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120311,הוצאות תפעול,4501011938,הפקת תלושי שכר לעובדי הרשות 2015 .,01-27-15,12-31-15,0040001612,"מלם מערכות בע""מ",26137,ILS,26137,פטור ממכרז,הפקת תלושי שכר,לא בשימוש,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68130105,הוצאות תפעול,4501011938,הפקת תלושי שכר לעובדי הרשות 2015 .,01-27-15,12-31-15,0040001612,"מלם מערכות בע""מ",130685,ILS,103343.02,פטור ממכרז,הפקת תלושי שכר,לא בשימוש,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68130105,הוצאות תפעול,4501011999,ארנונה לשנת 2015,01-27-15,12-31-15,0020000134,מ. א. עמק המעיינות,2500,ILS,2476.5,אחר,מדובר על תשלום לעיריה לטובת נכס רשות,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501012032,ארנונה לשנת 2015,01-27-15,12-31-15,0020000147,עירית אילת,58111,ILS,57858.3,אחר,מדובר על תשלום לעיריה לטובת נכס רשות,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68130105,הוצאות תפעול,4501012032,ארנונה לשנת 2015,01-27-15,12-31-15,0020000147,עירית אילת,53550,ILS,53530.9,אחר,מדובר על תשלום לעיריה לטובת נכס רשות,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501012047,ארנונה לשנת 2015,01-27-15,12-31-15,0020000227,עירית כפר סבא,114600,ILS,112644.1,תשלומי חשמל/מים/ארנונה/כבישי אגרה,מדובר על תשלום לעיריה לטובת נכס רשות,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110233,הוצאות תפעול ומחשוב,4501012098,מיגון פיזי לעמדות ניהול תורים,01-27-15,01-21-16,0041111870,"שוחט-שהרבני נכסים והשקעות בע""מ",23400,ILS,23600,פטור ממכרז,9999,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501012098,מיגון פיזי לעמדות ניהול תורים,01-27-15,01-21-16,0041111870,"שוחט-שהרבני נכסים והשקעות בע""מ",25740,ILS,25840,פטור ממכרז,9999,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501012106,ארנונה לשנת 2015,01-27-15,12-31-15,0020000201,עירית תל-אביב-יפו,281000,ILS,224478.99,אחר,מדובר על תשלום לעיריה לטובת נכס רשות,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120110,הוצאות תפעול,4501012106,ארנונה לשנת 2015,01-27-15,12-31-15,0020000201,עירית תל-אביב-יפו,462000,ILS,447976.56,אחר,מדובר על תשלום לעיריה לטובת נכס רשות,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120311,הוצאות תפעול,4501012106,ארנונה לשנת 2015,01-27-15,12-31-15,0020000201,עירית תל-אביב-יפו,53000,ILS,45874.12,אחר,מדובר על תשלום לעיריה לטובת נכס רשות,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120311,הוצאות תפעול,4501012122,"התאמת מבנה מת""ש ב""ש",01-27-15,,0040819767,"בן שמחון גיא בע""מ",5664,ILS,5664,פטור ממכרז,חלק מסעיף תוספות חריגות בחוזה השכירות,תקנה 3(29) - ספק יחיד,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120310,פעולות הנהלה,4501012153,כרטיסי חניה טרמינל 3,01-27-15,,0040192703,"ימית א. בטחון (1998) בע""מ",484.01,ILS,484,לא בשימוש,,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68130105,הוצאות תפעול,4501012155,ארנונה לשנת 2015,01-27-15,12-31-15,0020000139,מ. א. מטה אשר,2000,ILS,1877.5,אחר,מדובר על תשלום לעיריה לטובת נכס רשות,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501012161,ארנונה לשנת 2015,01-27-15,12-31-15,0020000247,עירית ראשון לציון,82000,ILS,80700.7,אחר,מדובר על תשלום לעיריה לטובת נכס רשות,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501012192,ארנונה לשנת 2015,01-27-15,12-31-15,0020000204,עירית בני ברק,78000,ILS,63073.35,תשלומי חשמל/מים/ארנונה/כבישי אגרה,מדובר על תשלום לעיריה לטובת נכס רשות,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120110,הוצאות תפעול,4501012192,ארנונה לשנת 2015,01-27-15,12-31-15,0020000204,עירית בני ברק,321000,ILS,289137.7,תשלומי חשמל/מים/ארנונה/כבישי אגרה,מדובר על תשלום לעיריה לטובת נכס רשות,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501012246,ארנונה לשנת 2015,01-27-15,12-31-15,0020000225,עירית טבריה,118200,ILS,116758.39999999999,אחר,מדובר על תשלום לעיריה לטובת נכס רשות,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501012256,ארנונה לשנת 2015,01-27-15,12-31-15,0020000248,עירית רחובות,71000,ILS,50906.8,תשלומי חשמל/מים/ארנונה/כבישי אגרה,מדובר על תשלום לעיריה לטובת נכס רשות,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120311,הוצאות תפעול,4501012256,ארנונה לשנת 2015,01-27-15,12-31-15,0020000248,עירית רחובות,34000,ILS,22760.1,תשלומי חשמל/מים/ארנונה/כבישי אגרה,מדובר על תשלום לעיריה לטובת נכס רשות,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501012267,ארנונה ומים לשנת 2015,01-27-15,12-31-15,0020000171,עירית מעלה אדומים,16000,ILS,16032.73,אחר,מדובר על תשלום לעיריה לטובת נכס רשות,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501012272,ארנונה לשנת 2015,01-27-15,12-31-15,0020000233,עירית נתניה,71000,ILS,70472,אחר,מדובר על תשלום לעיריה לטובת נכס רשות,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501012281,ארנונה לשנת 2015,01-27-15,12-31-15,0020000767,עירית באר שבע-ארנונה,562000,ILS,532467.6,אחר,מדובר על תשלום לעיריה לטובת נכס רשות,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120311,הוצאות תפעול,4501012281,ארנונה לשנת 2015,01-27-15,12-31-15,0020000767,עירית באר שבע-ארנונה,75000,ILS,73449,אחר,מדובר על תשלום לעיריה לטובת נכס רשות,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501012288,ארנונה לשנת 2015,01-27-15,12-31-15,0020000249,עירית רמלה,170000,ILS,157650.5,אחר,מדובר על תשלום לעיריה לטובת נכס רשות,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68130105,הוצאות תפעול,4501012291,ארנונה לשנת 2015,01-27-15,12-31-15,0020000219,מ. א. חבל אילות,1600,ILS,1585.2,אחר,מדובר על תשלום לעיריה לטובת נכס רשות,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501012294,ארנונה לשנת 2015,01-27-15,12-31-15,0020000243,עירית פתח תקוה,42000,ILS,41848.800000000003,אחר,מדובר על תשלום לעיריה לטובת נכס רשות,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120311,הוצאות תפעול,4501012294,ארנונה לשנת 2015,01-27-15,12-31-15,0020000243,עירית פתח תקוה,10150,ILS,9726.5,אחר,מדובר על תשלום לעיריה לטובת נכס רשות,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501012314,תשלומי חשמל לשנת 2015,01-27-15,12-31-15,0040001579,חברת החשמל לישראל בעמ,1989000,ILS,1845208.49,אחר, חשמל,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110233,הוצאות תפעול ומחשוב,4501012314,תשלומי חשמל לשנת 2015,01-27-15,12-31-15,0040001579,חברת החשמל לישראל בעמ,236000,ILS,40256.019999999997,אחר, חשמל,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120110,הוצאות תפעול,4501012314,תשלומי חשמל לשנת 2015,01-27-15,12-31-15,0040001579,חברת החשמל לישראל בעמ,826000,ILS,362227.04,אחר, חשמל,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120311,הוצאות תפעול,4501012314,תשלומי חשמל לשנת 2015,01-27-15,12-31-15,0040001579,חברת החשמל לישראל בעמ,177000,ILS,127047.84,אחר, חשמל,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68130105,הוצאות תפעול,4501012314,תשלומי חשמל לשנת 2015,01-27-15,12-31-15,0040001579,חברת החשמל לישראל בעמ,177000,ILS,66181.02,אחר, חשמל,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501012343,תשלומי בזק לשנת 2015,01-27-15,12-31-15,0040001591,"בזק החברה הישראלית לתקשורת בע""מ",2340000,ILS,1776640.78,אחר,בזק,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110233,הוצאות תפעול ומחשוב,4501012343,תשלומי בזק לשנת 2015,01-27-15,12-31-15,0040001591,"בזק החברה הישראלית לתקשורת בע""מ",354000,ILS,353378.17,אחר,בזק,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120110,הוצאות תפעול,4501012343,תשלומי בזק לשנת 2015,01-27-15,12-31-15,0040001591,"בזק החברה הישראלית לתקשורת בע""מ",944000,ILS,943155.82,אחר,בזק,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120311,הוצאות תפעול,4501012343,תשלומי בזק לשנת 2015,01-27-15,12-31-15,0040001591,"בזק החברה הישראלית לתקשורת בע""מ",236000,ILS,235814.37,אחר,בזק,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68130105,הוצאות תפעול,4501012343,תשלומי בזק לשנת 2015,01-27-15,12-31-15,0040001591,"בזק החברה הישראלית לתקשורת בע""מ",234000,ILS,206257.72,אחר,בזק,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501012364,תשלומי אגרה בנסיעה בכביש 6,01-27-15,12-31-15,0040003724,"דרך ארץ הייווייז (1997) בע""מ",22420,ILS,9304.76,תקנה 14ב - מכרז מרכזי,כביש 6,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120110,הוצאות תפעול,4501012364,תשלומי אגרה בנסיעה בכביש 6,01-27-15,12-31-15,0040003724,"דרך ארץ הייווייז (1997) בע""מ",99120,ILS,86515.41,תקנה 14ב - מכרז מרכזי,כביש 6,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120311,הוצאות תפעול,4501012364,תשלומי אגרה בנסיעה בכביש 6,01-27-15,12-31-15,0040003724,"דרך ארץ הייווייז (1997) בע""מ",3540,ILS,0,תקנה 14ב - מכרז מרכזי,כביש 6,,לא
