שם חברה,תקנה תקציבית,תיאור תקנה תקציבית,הזמנת רכש,מטרת התקשרות,תאריך יצירת ההזמנה,סיום תקופת תוקף,קוד ספק,שם הספק,"ערך ההזמנה כולל מע""מ",מטבע,"ביצוע חשבוניות במטבע מקומי כולל מע""מ והצ",אופן רכישה,סיבת פטור,"מס' פנייה במנו""ף/מנור""",הזמנה רגישה
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501011708,משלוח לחיפה בהמשך להזמנה 450100264,01-26-15,,0040374124,"לחמים - מאפייה ואספרסו בר בע""מ",537.5,ILS,141.47999999999999,פטור ממכרז,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501011168,"נייר A4 אקולוגי - גב""ק",01-26-15,,0040001212,"שחר - מוצרי נייר בע""מ",5143.32,ILS,3890.46,תקנה 14ב - מכרז מרכזי,,521424,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501011182,"נייר A4 אקולוגי - ת""א",01-26-15,,0040001212,"שחר - מוצרי נייר בע""מ",43075.31,ILS,43391.62,תקנה 14ב - מכרז מרכזי,,521424,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501011324,נייר A4 אקולוגי -מחוז דרום,01-26-15,,0040001103,קרביץ (1974) בעמ,34487.51,ILS,33599.07,תקנה 14ב - מכרז מרכזי,,521424,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501011186,נייר A4 אקולוגי -מחוז מרכז,01-26-15,,0040001212,"שחר - מוצרי נייר בע""מ",12858.3,ILS,12449.48,תקנה 14ב - מכרז מרכזי,,521424,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501011330,נייר A4 אקולוגי -מחוז צפון,01-26-15,,0040001103,קרביץ (1974) בעמ,36091.58,ILS,34944.04,תקנה 14ב - מכרז מרכזי,,521424,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501011193,"נייר A4 אקולוגי -מטה,מסלול מקוצר,מנהלת גבייה",01-26-15,,0040001212,"שחר - מוצרי נייר בע""מ",16072.88,ILS,16072.87,תקנה 14ב - מכרז מרכזי,,521424,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501011801,נציג ועדת בוחנים,01-26-15,,0040203305,רונן אברהם,521.55999999999995,ILS,521.55999999999995,תקנה 14ב - מכרז מרכזי,,99,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501011802,נציג ועדת בוחנים,01-26-15,,0040539556,מלאך רות,442,ILS,442,תקנה 14ב - מכרז מרכזי,,99,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501011803,נציג ועדת בוחנים,01-26-15,,0041052496,מרון שמחה,1043.1199999999999,ILS,1043.1199999999999,פטור ממכרז,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501011343,"קרגלים עבור הוצל""פ בתל אביב",01-26-15,,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",3759.21,ILS,3122.28,תקנה 14ב - מכרז מרכזי,,529619,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501011335,קרגלים עבור המרכז לגביית קנסות,01-26-15,,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",1326.78,ILS,1338.12,תקנה 14ב - מכרז מרכזי,,529619,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501011367,קרגלים עבור לשכות מחוז מרכז,01-26-15,,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",3316.95,ILS,2220.75,תקנה 14ב - מכרז מרכזי,,529619,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501011351,קרגלים עבור לשכות מחוז צפון,01-26-15,,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",3759.21,ILS,3791.34,תקנה 14ב - מכרז מרכזי,,529619,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501011361,קרגלים עבור לשכות מחוזדרום,01-26-15,,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",2874.69,ILS,0,תקנה 14ב - מכרז מרכזי,,529619,לא
רשות האכיפה והגבייה,08550112,הוצאות מחשוב,4501011229,רכישת כונני גיבוי לעבודה שוטפת,01-26-15,,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",682.62,ILS,688.46,תקנה 14ב - מכרז מרכזי,,529619,לא
רשות האכיפה והגבייה,08550112,הוצאות מחשוב,4501011061,רכישת כרטיסי מסף עבודה שוטפת,01-26-15,,0040004149,י א מיטווך ובניו בעמ,3393,ILS,3422,פטור ממכרז,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",9999,לא
רשות האכיפה והגבייה,08550112,הוצאות מחשוב,4501011265,רכישת מדפסות סמסונג 4510ND לעבודה שוטפת,01-26-15,,0040001247,"הראל טכנולוגיות מידע בע""מ",15733.34,ILS,18023,תקנה 14ב - מכרז מרכזי,,543274,לא
רשות האכיפה והגבייה,08550112,הוצאות מחשוב,4501011041,רכישת מחשבים לשימוש שוטף,01-26-15,,0040321702,"תים נטקום בע""מ",20324.89,ILS,21431.34,תקנה 14ב - מכרז מרכזי,,553417,לא
רשות האכיפה והגבייה,08550112,הוצאות מחשוב,4501011648,תחזוקה מערכת ניהול תורים 2015,01-26-15,03-31-16,0040510075,"קולפלו תוכנה בע""מ",272050.74,ILS,274375.96000000002,תקנה 1ב - מכרז פומבי רגיל,,9999,לא
רשות האכיפה והגבייה,08550112,הוצאות מחשוב,4501011800,תשלום חשמל,01-26-15,12-31-15,0040001579,חברת החשמל לישראל בעמ,589200,ILS,545287.27,אחר,,98,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501011800,תשלום חשמל,01-26-15,12-31-15,0040001579,חברת החשמל לישראל בעמ,495600,ILS,493151.87,אחר,,98,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501012706,מסיבת פרישה,01-28-15,,0041033001,"אלתר-נתיב שירותי מזון בע""מ",925.12,ILS,925.12,פטור ממכרז,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501012826,מסיבת פרישה,01-28-15,,0041091158,קורקוס שמעון,925.12,ILS,925.12,פטור ממכרז,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",,לא
רשות האכיפה והגבייה,08550112,הוצאות מחשוב,4501012465,רכישת מחשבים ניידים HP,01-28-15,,0040321702,"תים נטקום בע""מ",11125.89,ILS,11658.18,תקנה 14ב - מכרז מרכזי,,553417,לא
רשות האכיפה והגבייה,08550112,הוצאות מחשוב,4501012642,שירות תחזוקה ותמיכה למחשבים וציוד היקפי 2015,01-28-15,12-31-11,0040005426,"טלקוד מחשבים בע""מ",156721.64000000001,ILS,118210.99,תקנה 14ב - מכרז מרכזי,,519462,לא
רשות האכיפה והגבייה,08550112,הוצאות מחשוב,4501012499,תשתיות תקשורת פסיבית,01-28-15,,0040001165,"בינת יישום מערכות בע""מ",1038.1099999999999,ILS,1046.99,תקנה 14ב - מכרז מרכזי,,516787,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501014002,בקרת צריכת חשמל,01-29-15,,0040159616,"גדיר הנדסה בע""מ",11898.9,ILS,9343.2000000000007,פטור ממכרז,תקנה 3(29) - ספק יחיד,561556,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501013985,מעטפות מבויילות מוקד מידע,01-29-15,,0040184020,"חברת דואר ישראל בע""מ",92444.51,ILS,92444.52,פטור ממכרז,תקנה 3(29) - ספק יחיד,561967,לא
רשות האכיפה והגבייה,08550111,פעולות,4501013861,עמלות ואגרות בנק הדואר,01-29-15,12-31-15,0040189595,"חברת דואר ישראל בע""מ-עמלות",4868424.92,ILS,4619705.4000000004,פטור ממכרז,תקנה 3(6) - התקשרות עם תאגיד על פי החלטת הממשלה,?,לא
רשות האכיפה והגבייה,08550112,הוצאות מחשוב,4501013730,רישיונות ל- E TOKENים לשנת 2015,01-29-15,12-31-15,0041111352,"עידור מערכות בע""מ",39588.82,ILS,39927.19,פטור ממכרז,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501013592,שירותי מסוף 2015,01-29-15,01-31-16,0040011815,מסוף העברת מסמכי מחשבים בעמ,193131.17,ILS,153148.64000000001,פטור ממכרז,תקנה 3ג - מימוש זכות ברירה,563480,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501014003,שירותי סליקה בנקאי,01-29-15,,0040005131,"מרכז סליקה בנקאי בע""מ",14040,ILS,8336.52,פטור ממכרז,תקנה 3(29) - ספק יחיד,561324,לא
רשות האכיפה והגבייה,08550112,הוצאות מחשוב,4501013766,שירותי סריקה ומפתוח,01-29-15,12-31-15,0040007053,"אימג'סטור מערכות בע""מ",2999999.9,ILS,1516207.29,תקנה 14ב - מכרז מרכזי,,537980,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501015406,גלגלי אבל,02-02-15,,0040001469,"א.מ. פרחים בע""מ",2379.7800000000002,ILS,1800.09,פטור ממכרז,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501015404,"מעטפות הוצל""פ  ראשל""צ",02-02-15,,0010000173,המדפיס הממשלתי,3965,ILS,3965,פטור ממכרז,תקנה 3(5) - חברה ממשלתית,חברה ממשלתית,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501015397,"מעטפות הוצל""פ כפ""ס",02-02-15,,0010000173,המדפיס הממשלתי,2850,ILS,2850,פטור ממכרז,תקנה 3(5) - חברה ממשלתית,חברה ממשלתית,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501015401,"מעטפות הוצל""פ נתניה",02-02-15,,0010000173,המדפיס הממשלתי,5010,ILS,5010,פטור ממכרז,תקנה 3(5) - חברה ממשלתית,חברה ממשלתית,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501015398,"מעטפות הוצל""פ פתח תקוה",02-02-15,,0010000173,המדפיס הממשלתי,2090,ILS,2090,פטור ממכרז,תקנה 3(5) - חברה ממשלתית,חברה ממשלתית,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501015399,"מעטפות הוצל""פ רמלה",02-02-15,,0010000173,המדפיס הממשלתי,4135,ILS,4135,פטור ממכרז,תקנה 3(5) - חברה ממשלתית,חברה ממשלתית,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501015395,מעטפות עבור הוצלפ תל אביב,02-02-15,,0010000173,המדפיס הממשלתי,3230,ILS,3230,פטור ממכרז,תקנה 3(5) - חברה ממשלתית,חברה ממשלתית,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501015394,מעטפות עבור המסלול המקוצר,02-02-15,,0010000173,המדפיס הממשלתי,4135,ILS,4135,פטור ממכרז,תקנה 3(5) - חברה ממשלתית,חברה ממשלתית,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501014775,קובציחקיקה ועדכונים שוטפים 2015,02-02-15,,0040006167,"""מחשבות"" (הוצאה לאור) 1997 בע""מ",9944.5300000000007,ILS,9753.41,פטור ממכרז,תקנה 3(29) - ספק יחיד,561745,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501015037,שכר עובדים עם מוגבלות,02-02-15,,0040003734,חב המשקם לתעסוקת קשישים ובעלי כושר,93293.46,ILS,74548.42,תקנה 14ב - מכרז מרכזי,,511094,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501015358,שכר עובדים עם מוגבלות,02-02-15,,0040003734,חב המשקם לתעסוקת קשישים ובעלי כושר,101932.74,ILS,93339.19,תקנה 14ב - מכרז מרכזי,,511094,לא
רשות האכיפה והגבייה,08550111,פעולות,4501015760,עמלות כרטיסי אשראי,02-03-15,,0040001107,ישראכרט בעמ,292500,ILS,157101.04999999999,אחר,,,לא
רשות האכיפה והגבייה,08550111,פעולות,4501015762,עמלות כרטיסי אשראי,02-03-15,,0040006959,"כרטיסי אשראי לישראל בע""מ",228637.5,ILS,146588.59,אחר,,,לא
רשות האכיפה והגבייה,08550111,פעולות,4501015765,עמלות כרטיסי אשראי,02-03-15,,0040007198,"לאומי קארד בע""מ",193050,ILS,126065.09,אחר,,,לא
רשות האכיפה והגבייה,08550111,פעולות,4501015768,עמלות כרטיסי אשראי,02-03-15,,0040006972,"פועלים אקספרס בע""מ",51480,ILS,34835.949999999997,אחר,,,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501015739,שכר עובדים עם מוגבלות,02-03-15,,0040019093,"אגודה לבריאות הציבור (ע""ר)",95760.66,ILS,67201.5,תקנה 14ב - מכרז מרכזי,,511094,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501016276,"חניות כפ""ס",02-04-15,12-31-15,0040242086,"חכ""ל בניה ופיקוח בע""מ",211302,ILS,178739.07,תקנה 1ב - מכרז פומבי רגיל,,99,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501016208,כרטיסי ביקור עבור עובדי רשות האכיפה והגבייה 2015,02-04-15,,0040004338,"דפוס ציון בע""מ",776.83,ILS,776.83,פטור ממכרז,תקנה 3(5) - חברה ממשלתית,חברה ממשלתית,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501016175,"מעטפות הוצל""פ אשדוד",02-04-15,,0010000173,המדפיס הממשלתי,1915,ILS,1915,פטור ממכרז,תקנה 3(5) - חברה ממשלתית,חברה ממשלתית,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501016162,"מעטפות הוצל""פ באר שבע",02-04-15,,0010000173,המדפיס הממשלתי,8017,ILS,8017,פטור ממכרז,תקנה 3(5) - חברה ממשלתית,חברה ממשלתית,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501016169,"מעטפות הוצל""פ יאשקלון",02-04-15,,0010000173,המדפיס הממשלתי,4210,ILS,4210,פטור ממכרז,תקנה 3(5) - חברה ממשלתית,חברה ממשלתית,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501016166,"מעטפות הוצל""פ ירושלים",02-04-15,,0010000173,המדפיס הממשלתי,6600,ILS,6600,פטור ממכרז,תקנה 3(5) - חברה ממשלתית,חברה ממשלתית,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501015926,רכישת ספרות מקצועית לרשמים,02-04-15,,0040007045,"פרלשטיין גינוסר בע""מ",1472.41,ILS,1484.99,פטור ממכרז,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501017120,"חייגן מערכת גילוי אש הוצל""פ ירושלים",02-05-15,,0040169262,"יעד בטיחות חברה למסחר והנדסה בע""מ",772.2,ILS,778.8,פטור ממכרז,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501016847,רכישת ספרות מקצועית לחטיבת רשמים,02-05-15,,0040007045,"פרלשטיין גינוסר בע""מ",1748.97,ILS,1763.93,פטור ממכרז,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",,לא
רשות האכיפה והגבייה,08550112,הוצאות מחשוב,4501017238,רכישת כרטיסים זמניים חכמים,02-08-15,,0010000020,משרד ראש הממשלה,6490,ILS,6490,תקנה 14ב - מכרז מרכזי,,9999,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501019164,הרצאה לחטיבת רשמים 13.05.2015,02-10-15,,0040299669,שלום צילה,1174.68,ILS,1184.72,פטור ממכרז,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501019157,הרצאה לחטיבת רשמים 14.05.2015,02-10-15,,0040002242,רוזנטל ראובן,2340,ILS,2360,פטור ממכרז,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501019366,טונרים בית אמות  רבעון א 2015,02-10-15,,0040001244,"דנגוט מחשבים בע""מ",1186.73,ILS,1266.99,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501019377,"טונרים גב""ק רבעון א 2015",02-10-15,,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",379.79,ILS,383.04,תקנה 14ב - מכרז מרכזי,,529619,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501019378,"טונרים גב""ק רבעון א 2015",02-10-15,,0040001244,"דנגוט מחשבים בע""מ",4085.11,ILS,4370.07,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501019363,טונרים הדר דפנה רבעון א 2015,02-10-15,,0040001244,"דנגוט מחשבים בע""מ",724.43,ILS,772.19,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501019371,טונרים הדר דפנה רבעון א 2015,02-10-15,,0040001247,"הראל טכנולוגיות מידע בע""מ",902.36,ILS,1028.1099999999999,תקנה 14ב - מכרז מרכזי,,543274,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501019386,"טונרים הוצל""פ ב""ש רבעון א 2015",02-10-15,,0040001244,"דנגוט מחשבים בע""מ",593.37,ILS,632.49,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501019387,"טונרים הוצל""פ ב""ש רבעון א 2015",02-10-15,,0040001247,"הראל טכנולוגיות מידע בע""מ",902.36,ILS,1028.1099999999999,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501019388,"טונרים הוצל""פ ירושלים  רבעון א 2015",02-10-15,,0040001247,"הראל טכנולוגיות מידע בע""מ",2707.06,ILS,3087,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501019392,"טונרים הוצל""פ כפ""ס רבעון א 2015",02-10-15,,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",297.83999999999997,ILS,300.38,תקנה 14ב - מכרז מרכזי,,529619,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501019370,"טונרים הוצל""פ ת""א  רבעון א 2015",02-10-15,,0040001247,"הראל טכנולוגיות מידע בע""מ",9023.51,ILS,10288.99,תקנה 14ב - מכרז מרכזי,,543274,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501019374,"טונרים הוצל""פ ת""א  רבעון א 2015",02-10-15,,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",1340.12,ILS,1351.57,תקנה 14ב - מכרז מרכזי,,529619,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501019383,טונרים לשכות מחוז דרום רבעון א 2015,02-10-15,,0040001244,"דנגוט מחשבים בע""מ",4056.18,ILS,4347.97,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501019385,טונרים לשכות מחוז דרום רבעון א 2015,02-10-15,,0040001247,"הראל טכנולוגיות מידע בע""מ",902.36,ILS,0,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501019390,טונרים לשכות מחוז מרכז רבעון א 2015,02-10-15,,0040001244,"דנגוט מחשבים בע""מ",21712.080000000002,ILS,24018.3,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501019391,טונרים לשכות מחוז מרכז רבעון א 2015,02-10-15,,0040001247,"הראל טכנולוגיות מידע בע""מ",17553.150000000001,ILS,20014.990000000002,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501019382,טונרים מנהלת גבייה רבעון א 2015,02-10-15,,0040001244,"דנגוט מחשבים בע""מ",1186.73,ILS,1266.99,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501019379,טונרים מסלול מקוצר  רבעון א 2015,02-10-15,,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",670.06,ILS,675.79,תקנה 14ב - מכרז מרכזי,,529619,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501019381,טונרים מסלול מקוצר  רבעון א 2015,02-10-15,,0040001244,"דנגוט מחשבים בע""מ",2969.88,ILS,3170.99,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501019261,יעוץ כלכלי לעובדי הרשות,02-10-15,,0041116382,גלעד רדליך ושות,3935.88,ILS,3314.61,פטור ממכרז,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501020028,ועדות בוחנים,02-11-15,,0040006678,ברוכין אהרן שלמה,517.14,ILS,0,אחר,,,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501023643,חניה ק8,02-15-15,,0020000157,עירית קרית שמונה,1000,ILS,1000,פטור ממכרז,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",,לא
רשות האכיפה והגבייה,08550112,הוצאות מחשוב,4501022861,רכישת תנורים עבור מדםסות,02-15-15,,0041097839,"גטר גרופ בע""מ",26682.55,ILS,27500.959999999999,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501023642,תשלום חשמל,02-15-15,12-31-15,0040007086,"בק-טק (ירושלים) בע""מ",251340,ILS,167664.95999999999,תקנה 1ב - מכרז פומבי רגיל,,99,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501024262,הרצאה לחטיבת רשמים 13.05.2015,02-16-15,,0040002814,האקדמיה ללשון העברית,1115,ILS,1115,פטור ממכרז,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501024271,"טונרים גב""ק רבעון א 2015",02-16-15,,0041097839,"גטר גרופ בע""מ",5382.94,ILS,5779.72,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501024273,"טונרים גב""ק רבעון א 2015",02-16-15,,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",2594.4899999999998,ILS,2616.66,תקנה 14ב - מכרז מרכזי,,529619,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501024131,"טונרים הוצל""פ ב""ש רבעון א 2015",02-16-15,,0041097839,"גטר גרופ בע""מ",12942.67,ILS,14270.7,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501024049,"טונרים הוצל""פ חיפה  רבעון א 2015",02-16-15,,0041097839,"גטר גרופ בע""מ",10411.24,ILS,11504.71,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501024055,"טונרים הוצל""פ חיפה  רבעון א 2015",02-16-15,,0040001244,"דנגוט מחשבים בע""מ",3057.07,ILS,0,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501024060,"טונרים הוצל""פ חיפה  רבעון א 2015",02-16-15,,0040001247,"הראל טכנולוגיות מידע בע""מ",3609.4,ILS,4282.01,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501024127,"טונרים הוצל""פ ירושלים  רבעון א 2015",02-16-15,,0041097839,"גטר גרופ בע""מ",4010.84,ILS,4317.66,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501024268,"טונרים הוצל""פ ת""א בית אמות  רבעון א 2015",02-16-15,,0041097839,"גטר גרופ בע""מ",2759.43,ILS,3051.61,תקנה 14ב - מכרז מרכזי,,537981,לא
