שנה,סעיף מוביל,מספר בקשה,תיאור בקשה,קוד שינוי,שם שינוי,קוד סוג בקשה,שם סוג בקשה,מספר וועדה,קוד תוכנית,שם תוכנית,הוצאות נטו,הוצאה מותנית בהכנסה,הכנסה מיועדת,הרשאה להתחייב,שיא כא,תאריך אישור
2013,02,001,העברת עודפים המחויבים,5,עודפים,3,הודעה לועדה,0,02-03-06,ביטחון,"4,450",0,0,0,0,B127-Nov-13
2013,02,001,העברת עודפים המחויבים,5,עודפים,3,הודעה לועדה,0,02-03-07,ניהול מערכות מחשב,"19,970",0,0,0,0,B127-Nov-13
2013,02,001,העברת עודפים המחויבים,5,עודפים,3,הודעה לועדה,0,02-05-01,תוספת מבנה,"2,600",0,0,0,0,B127-Nov-13
2013,02,001,העברת עודפים המחויבים,5,עודפים,3,הודעה לועדה,0,02-09-01,מוזיאון הכנסת,"11,827",0,0,0,0,B127-Nov-13
2013,02,002,שינויים פנימיים,7,שינוי פנימי,2,אישור ועדה,298,02-03-01,שירותים מקצועיים,"-3,530",0,0,0,0,B127-Nov-13
2013,02,002,שינויים פנימיים,7,שינוי פנימי,2,אישור ועדה,298,02-03-02,קשרי חוץ טקסים וקרנות,-330,0,0,0,0,B127-Nov-13
2013,02,002,שינויים פנימיים,7,שינוי פנימי,2,אישור ועדה,298,02-03-04,הוצאות עובדי הכנסת,-880,0,0,0,0,B127-Nov-13
2013,02,002,שינויים פנימיים,7,שינוי פנימי,2,אישור ועדה,298,02-09-01,מוזיאון הכנסת,"4,740",0,0,0,0,B127-Nov-13
2013,02,003,העברת עודפים לא מחויבים,5,עודפים,3,הודעה לועדה,0,02-03-05,אמרכלות,"16,890",0,0,0,0,B103-Dec-13
2013,02,003,העברת עודפים לא מחויבים,5,עודפים,3,הודעה לועדה,0,02-05-01,תוספת מבנה,"33,050",0,0,0,0,B103-Dec-13
2013,02,003,העברת עודפים לא מחויבים,5,עודפים,3,הודעה לועדה,0,02-09-01,מוזיאון הכנסת,"64,373",0,0,0,0,B103-Dec-13
2013,04,001,רפורמה בנציבות - העברה מס' 1,7,שינוי פנימי,1,אישור אגף,0,04-55-01,נציבות שירות המדינה,0,0,0,0,0,B118-Aug-13
2013,04,003,שינויים פנימיים בתקציב מערך הגיור,7,שינוי פנימי,1,אישור אגף,0,04-51-03,מערך הגיור,0,0,0,0,0,B126-Aug-13
2013,04,004,פתיחת תקנות שכר עידוד,7,שינוי פנימי,1,אישור אגף,0,04-51-07,ארכיון המדינה,0,0,0,0,0,B125-Nov-13
2013,04,004,פתיחת תקנות שכר עידוד,7,שינוי פנימי,1,אישור אגף,0,04-53-01,הלשכה המרכזית,0,0,0,0,0,B125-Nov-13
2013,04,005,עודפים תקציביים,5,עודפים,3,הודעה לועדה,0,04-06-03,אמרכלות מנהלת תנופה,"5,491",0,0,0,0,B111-Sep-13
2013,04,005,עודפים תקציביים,5,עודפים,3,הודעה לועדה,0,04-06-04,פעולות מנהלת תנופה,"1,728",0,0,0,0,B111-Sep-13
2013,04,005,עודפים תקציביים,5,עודפים,3,הודעה לועדה,0,04-06-08,הסכמים לקבוצות על פי,"8,140",0,0,0,0,B111-Sep-13
2013,04,005,עודפים תקציביים,5,עודפים,3,הודעה לועדה,0,04-06-10,סיוע לפרטים - מגורים,955,0,0,0,0,B111-Sep-13
2013,04,005,עודפים תקציביים,5,עודפים,3,הודעה לועדה,0,04-06-12,סיוע לעסקים,"18,389",0,0,0,0,B111-Sep-13
2013,04,005,עודפים תקציביים,5,עודפים,3,הודעה לועדה,0,04-06-14,מימון פעולות משרדי,985,0,0,0,0,B111-Sep-13
2013,04,005,עודפים תקציביים,5,עודפים,3,הודעה לועדה,0,04-51-01,מטה המשרד,"147,565",0,0,0,0,B111-Sep-13
2013,04,005,עודפים תקציביים,5,עודפים,3,הודעה לועדה,0,04-51-02,מרכז ההסברה,"4,892",0,0,0,0,B111-Sep-13
2013,04,005,עודפים תקציביים,5,עודפים,3,הודעה לועדה,0,04-51-03,מערך הגיור,"39,396",0,0,0,0,B111-Sep-13
2013,04,005,עודפים תקציביים,5,עודפים,3,הודעה לועדה,0,04-51-04,תמיכות בארגוני הנצחה,"22,912",0,0,0,0,B111-Sep-13
2013,04,005,עודפים תקציביים,5,עודפים,3,הודעה לועדה,0,04-51-05,הרשות לקידום מעמד האשה,"5,286",0,0,0,0,B111-Sep-13
2013,04,005,עודפים תקציביים,5,עודפים,3,הודעה לועדה,0,04-51-06,הרשות לפיתוח כלכלי של,"4,712",0,0,0,0,B111-Sep-13
2013,04,005,עודפים תקציביים,5,עודפים,3,הודעה לועדה,0,04-51-07,ארכיון המדינה,"8,933",0,0,0,0,B111-Sep-13
2013,04,005,עודפים תקציביים,5,עודפים,3,הודעה לועדה,0,04-51-08,המטה הקיברנטי הלאומי,"5,769",0,0,0,0,B111-Sep-13
2013,04,005,עודפים תקציביים,5,עודפים,3,הודעה לועדה,0,04-51-09,הוועדה הבינמשרדית,"7,212",0,0,0,0,B111-Sep-13
2013,04,005,עודפים תקציביים,5,עודפים,3,הודעה לועדה,0,04-51-10,פרויקטים והחלטות ממשלה,"38,391",0,0,0,0,B111-Sep-13
2013,04,005,עודפים תקציביים,5,עודפים,3,הודעה לועדה,0,04-51-11,לשכת העיתונות הממשלתית,"7,111",0,0,0,0,B111-Sep-13
2013,04,005,עודפים תקציביים,5,עודפים,3,הודעה לועדה,0,04-51-12,המטה להסדרת התיישבות,850,0,0,0,0,B111-Sep-13
2013,04,005,עודפים תקציביים,5,עודפים,3,הודעה לועדה,0,04-51-13,הוועדה לבדיקת תחליפי,270,0,0,0,0,B111-Sep-13
2013,04,005,עודפים תקציביים,5,עודפים,3,הודעה לועדה,0,04-52-01,חברי הממשלה,"9,899",0,0,0,0,B111-Sep-13
2013,04,005,עודפים תקציביים,5,עודפים,3,הודעה לועדה,0,04-52-02,המשרד לאזרחים ותיקים,"62,888",0,0,0,0,B111-Sep-13
2013,04,005,עודפים תקציביים,5,עודפים,3,הודעה לועדה,0,04-52-03,משרד ההסברה והתפוצות,"15,072",0,0,0,0,B111-Sep-13
2013,04,005,עודפים תקציביים,5,עודפים,3,הודעה לועדה,0,04-52-04,המשרד לעניינים,"9,401",0,0,0,0,B111-Sep-13
2013,04,005,עודפים תקציביים,5,עודפים,3,הודעה לועדה,0,04-52-05,המשרד לענייני מודיעין,"1,248",0,0,0,0,B111-Sep-13
2013,04,005,עודפים תקציביים,5,עודפים,3,הודעה לועדה,0,04-52-06,לשכת השר בני בגין,63,0,0,0,0,B111-Sep-13
2013,04,005,עודפים תקציביים,5,עודפים,3,הודעה לועדה,0,04-52-07,לשכת השר יוסי פלד,253,0,0,0,0,B111-Sep-13
2013,04,005,עודפים תקציביים,5,עודפים,3,הודעה לועדה,0,04-52-08,לשכת השר משולם נהרי,"2,354",0,0,0,0,B111-Sep-13
2013,04,005,עודפים תקציביים,5,עודפים,3,הודעה לועדה,0,04-52-09,לשכת השר מיכאל איתן,725,0,0,0,0,B111-Sep-13
2013,04,005,עודפים תקציביים,5,עודפים,3,הודעה לועדה,0,04-52-11,לשכת סגנית השר גילה,151,0,0,0,0,B111-Sep-13
2013,04,005,עודפים תקציביים,5,עודפים,3,הודעה לועדה,0,04-53-01,הלשכה המרכזית,"51,604",0,0,0,0,B111-Sep-13
2013,04,005,עודפים תקציביים,5,עודפים,3,הודעה לועדה,0,04-53-02,ביצוע סקרים חיצוניים,"3,376",0,0,0,0,B111-Sep-13
2013,04,005,עודפים תקציביים,5,עודפים,3,הודעה לועדה,0,04-56-01,שיתוף פעולה אזורי,"10,889",0,0,0,0,B111-Sep-13
2013,04,005,עודפים תקציביים,5,עודפים,3,הודעה לועדה,0,04-59-01,נתיב,"15,961",0,0,0,0,B111-Sep-13
2013,04,005,עודפים תקציביים,5,עודפים,3,הודעה לועדה,0,04-60-01,מנהלת השירות,"40,557",0,0,0,0,B111-Sep-13
2013,04,006,עודפים - נציבות שירות המדינה,5,עודפים,3,הודעה לועדה,0,04-51-01,מטה המשרד,17,0,0,0,0,B111-Sep-13
2013,04,006,עודפים - נציבות שירות המדינה,5,עודפים,3,הודעה לועדה,0,04-55-01,נציבות שירות המדינה,"15,810",0,0,0,0,B111-Sep-13
2013,04,006,עודפים - נציבות שירות המדינה,5,עודפים,3,הודעה לועדה,0,04-55-02,תכניות מיוחדות,"5,883",0,0,0,0,B111-Sep-13
2013,04,007,עודפים - דתות רבנות ונגב וגליל,5,עודפים,3,הודעה לועדה,0,04-54-01,רבנות ראשית,"5,389",0,0,0,0,B111-Sep-13
2013,04,007,עודפים - דתות רבנות ונגב וגליל,5,עודפים,3,הודעה לועדה,0,04-62-01,מועצות דתיות,"26,737",0,0,0,0,B111-Sep-13
2013,04,007,עודפים - דתות רבנות ונגב וגליל,5,עודפים,3,הודעה לועדה,0,04-62-02,תמיכה בשירותי דת,"15,208",0,0,0,0,B111-Sep-13
2013,04,007,עודפים - דתות רבנות ונגב וגליל,5,עודפים,3,הודעה לועדה,0,04-62-03,בתי עלמין,"58,495",0,0,0,0,B111-Sep-13
2013,04,007,עודפים - דתות רבנות ונגב וגליל,5,עודפים,3,הודעה לועדה,0,04-62-04,תמיכה בהקמת מוסדות דת,"74,682",0,0,0,0,B111-Sep-13
2013,04,007,עודפים - דתות רבנות ונגב וגליל,5,עודפים,3,הודעה לועדה,0,04-62-06,תפעול,"7,276",0,0,0,0,B111-Sep-13
2013,04,007,עודפים - דתות רבנות ונגב וגליל,5,עודפים,3,הודעה לועדה,0,04-63-02,תפעול,"3,304",0,0,0,0,B111-Sep-13
2013,04,007,עודפים - דתות רבנות ונגב וגליל,5,עודפים,3,הודעה לועדה,0,04-63-03,פיתוח הנגב והגליל,"131,026",0,0,0,0,B111-Sep-13
2013,04,008,רבנות ראשית,6,הגדלה רגילה,2,אישור ועדה,34,04-54-01,רבנות ראשית,"2,164",600,-600,0,0,B107-Oct-13
2013,04,008,רבנות ראשית,6,הגדלה רגילה,2,אישור ועדה,34,04-70-01,רזרבה לעמידה במגבלה,"-2,164",0,0,0,0,B107-Oct-13
2013,04,009,תגבור תקציב פרויקט והדרת לניצולי שואה,9,מרזרבה כללית,2,אישור ועדה,46,04-52-02,המשרד לאזרחים ותיקים,"1,500",0,0,0,0,B107-Oct-13
2013,04,009,תגבור תקציב פרויקט והדרת לניצולי שואה,9,מרזרבה כללית,2,אישור ועדה,46,47-01-02,תוכנית מעבר - רזרבה,"-1,500",0,0,0,0,B107-Oct-13
2013,04,010,העברת עודפי חטל לסעיף 04,9,מרזרבה כללית,2,אישור ועדה,48,04-61-01,מרחב צפון,"24,376",0,0,0,0,B113-Oct-13
2013,04,010,העברת עודפי חטל לסעיף 04,9,מרזרבה כללית,2,אישור ועדה,48,04-61-02,מרחב מרכז,"7,808",0,0,0,0,B113-Oct-13
2013,04,010,העברת עודפי חטל לסעיף 04,9,מרזרבה כללית,2,אישור ועדה,48,04-61-03,מרחב מרכז - הר חברון,"4,433",0,0,0,0,B113-Oct-13
2013,04,010,העברת עודפי חטל לסעיף 04,9,מרזרבה כללית,2,אישור ועדה,48,04-61-04,מרחב דרום,"14,601",0,0,0,0,B113-Oct-13
2013,04,010,העברת עודפי חטל לסעיף 04,9,מרזרבה כללית,2,אישור ועדה,48,04-61-05,פעולות המטה,"82,109",0,0,0,0,B113-Oct-13
2013,04,010,העברת עודפי חטל לסעיף 04,9,מרזרבה כללית,2,אישור ועדה,48,47-01-02,תוכנית מעבר - רזרבה,"-133,327",0,0,0,0,B113-Oct-13
2013,04,011,"מו""פ חקלאי",8,לרזרבה כללית,2,אישור ועדה,60,04-56-01,שיתוף פעולה אזורי,"-3,000",0,0,0,0,B115-Oct-13
2013,04,011,"מו""פ חקלאי",8,לרזרבה כללית,2,אישור ועדה,60,47-01-02,תוכנית מעבר - רזרבה,"3,000",0,0,0,0,B115-Oct-13
2013,04,012,מימון הוצאות מוניציפאליות וחברתיות,7,שינוי פנימי,1,אישור אגף,0,04-06-14,מימון פעולות משרדי,0,0,0,0,0,B101-Oct-13
2013,04,014,העברת עודפי רשות הבדואים,9,מרזרבה כללית,2,אישור ועדה,74,04-64-02,תפעול,"6,787",0,0,0,0,B115-Oct-13
2013,04,014,העברת עודפי רשות הבדואים,9,מרזרבה כללית,2,אישור ועדה,74,47-01-02,תוכנית מעבר - רזרבה,"-6,787",0,0,0,0,B115-Oct-13
2013,04,015,שינויים פנימיים בתקציב אזרחים ותיקים,7,שינוי פנימי,1,אישור אגף,0,04-52-02,המשרד לאזרחים ותיקים,0,0,0,0,0,B101-Oct-13
2013,04,016,העברות מתקציב משרד רהמ למשרד לפיתוח הנגב,7,שינוי פנימי,2,אישור ועדה,81,04-51-01,מטה המשרד,200,0,0,0,0,B115-Oct-13
2013,04,016,העברות מתקציב משרד רהמ למשרד לפיתוח הנגב,7,שינוי פנימי,2,אישור ועדה,81,04-51-06,הרשות לפיתוח כלכלי של,"-1,650",0,0,0,0,B115-Oct-13
2013,04,016,העברות מתקציב משרד רהמ למשרד לפיתוח הנגב,7,שינוי פנימי,2,אישור ועדה,81,04-56-01,שיתוף פעולה אזורי,-200,0,0,0,0,B115-Oct-13
2013,04,016,העברות מתקציב משרד רהמ למשרד לפיתוח הנגב,7,שינוי פנימי,2,אישור ועדה,81,04-63-03,פיתוח הנגב והגליל,"1,650",0,0,0,0,B115-Oct-13
2013,04,017,החטיבה להתיישבות - תחילת שנה,9,מרזרבה כללית,2,אישור ועדה,88,04-61-01,מרחב צפון,"16,531",0,0,0,0,B113-Oct-13
2013,04,017,החטיבה להתיישבות - תחילת שנה,9,מרזרבה כללית,2,אישור ועדה,88,04-61-02,מרחב מרכז,"32,000",0,0,"4,000",0,B113-Oct-13
2013,04,017,החטיבה להתיישבות - תחילת שנה,9,מרזרבה כללית,2,אישור ועדה,88,04-61-04,מרחב דרום,"13,531",0,0,"13,531",0,B113-Oct-13
2013,04,017,החטיבה להתיישבות - תחילת שנה,9,מרזרבה כללית,2,אישור ועדה,88,04-61-05,פעולות המטה,"30,156","12,900","-12,900",0,0,B113-Oct-13
2013,04,017,החטיבה להתיישבות - תחילת שנה,9,מרזרבה כללית,2,אישור ועדה,88,47-01-01,רזרבה כללית,0,0,0,"-17,531",0,B113-Oct-13
2013,04,017,החטיבה להתיישבות - תחילת שנה,9,מרזרבה כללית,2,אישור ועדה,88,47-01-02,תוכנית מעבר - רזרבה,"-92,218",0,0,0,0,B113-Oct-13
2013,04,018,העברה לחטיבה להתיישבות,8,לרזרבה כללית,2,אישור ועדה,90,04-63-03,פיתוח הנגב והגליל,"-1,375",0,0,0,0,B110-Oct-13
2013,04,018,העברה לחטיבה להתיישבות,8,לרזרבה כללית,2,אישור ועדה,90,47-01-02,תוכנית מעבר - רזרבה,"1,375",0,0,0,0,B110-Oct-13
2013,04,019,שינויים פנימיים בתקציב המנהלת,7,שינוי פנימי,1,אישור אגף,0,04-60-01,מנהלת השירות,0,0,0,0,0,B109-Oct-13
2013,04,020,העברה בין תכניות בתקציב משרד ראש הממשלה,7,שינוי פנימי,2,אישור ועדה,101,04-51-01,מטה המשרד,"1,590",0,0,0,0,B130-Oct-13
2013,04,020,העברה בין תכניות בתקציב משרד ראש הממשלה,7,שינוי פנימי,2,אישור ועדה,101,04-51-03,מערך הגיור,-480,0,0,0,0,B130-Oct-13
2013,04,020,העברה בין תכניות בתקציב משרד ראש הממשלה,7,שינוי פנימי,2,אישור ועדה,101,04-51-06,הרשות לפיתוח כלכלי של,-500,0,0,0,0,B130-Oct-13
2013,04,020,העברה בין תכניות בתקציב משרד ראש הממשלה,7,שינוי פנימי,2,אישור ועדה,101,04-51-11,לשכת העיתונות הממשלתית,"1,460",0,0,0,0,B130-Oct-13
2013,04,020,העברה בין תכניות בתקציב משרד ראש הממשלה,7,שינוי פנימי,2,אישור ועדה,101,04-52-03,משרד ההסברה והתפוצות,"-2,500",0,0,0,0,B130-Oct-13
2013,04,020,העברה בין תכניות בתקציב משרד ראש הממשלה,7,שינוי פנימי,2,אישור ועדה,101,04-52-04,המשרד לעניינים,266,0,0,0,0,B130-Oct-13
2013,04,020,העברה בין תכניות בתקציב משרד ראש הממשלה,7,שינוי פנימי,2,אישור ועדה,101,04-52-05,המשרד לענייני מודיעין,-266,0,0,0,0,B130-Oct-13
2013,04,020,העברה בין תכניות בתקציב משרד ראש הממשלה,7,שינוי פנימי,2,אישור ועדה,101,04-55-01,נציבות שירות המדינה,120,0,0,0,0,B130-Oct-13
2013,04,020,העברה בין תכניות בתקציב משרד ראש הממשלה,7,שינוי פנימי,2,אישור ועדה,101,04-60-01,מנהלת השירות,310,0,0,0,0,B130-Oct-13
2013,04,021,שינויים פנימיים בתקציב משרד ראש הממשלה,7,שינוי פנימי,1,אישור אגף,0,04-51-01,מטה המשרד,0,0,0,0,0,B114-Oct-13
2013,04,021,שינויים פנימיים בתקציב משרד ראש הממשלה,7,שינוי פנימי,1,אישור אגף,0,04-51-03,מערך הגיור,0,0,0,0,0,B114-Oct-13
2013,04,021,שינויים פנימיים בתקציב משרד ראש הממשלה,7,שינוי פנימי,1,אישור אגף,0,04-51-04,תמיכות בארגוני הנצחה,0,0,0,0,0,B114-Oct-13
2013,04,021,שינויים פנימיים בתקציב משרד ראש הממשלה,7,שינוי פנימי,1,אישור אגף,0,04-51-05,הרשות לקידום מעמד האשה,0,0,0,0,0,B114-Oct-13
2013,04,021,שינויים פנימיים בתקציב משרד ראש הממשלה,7,שינוי פנימי,1,אישור אגף,0,04-51-06,הרשות לפיתוח כלכלי של,0,0,0,0,0,B114-Oct-13
2013,04,021,שינויים פנימיים בתקציב משרד ראש הממשלה,7,שינוי פנימי,1,אישור אגף,0,04-51-07,ארכיון המדינה,0,0,0,0,0,B114-Oct-13
2013,04,021,שינויים פנימיים בתקציב משרד ראש הממשלה,7,שינוי פנימי,1,אישור אגף,0,04-51-12,המטה להסדרת התיישבות,0,0,0,0,0,B114-Oct-13
2013,04,021,שינויים פנימיים בתקציב משרד ראש הממשלה,7,שינוי פנימי,1,אישור אגף,0,04-52-03,משרד ההסברה והתפוצות,0,0,0,0,0,B114-Oct-13
2013,04,021,שינויים פנימיים בתקציב משרד ראש הממשלה,7,שינוי פנימי,1,אישור אגף,0,04-52-04,המשרד לעניינים,0,0,0,0,0,B114-Oct-13
2013,04,021,שינויים פנימיים בתקציב משרד ראש הממשלה,7,שינוי פנימי,1,אישור אגף,0,04-52-05,המשרד לענייני מודיעין,0,0,0,0,0,B114-Oct-13
2013,04,022,המרכז למקומות קדושים,9,מרזרבה כללית,2,אישור ועדה,118,04-62-02,תמיכה בשירותי דת,"3,345",0,0,0,0,B130-Oct-13
2013,04,022,המרכז למקומות קדושים,9,מרזרבה כללית,2,אישור ועדה,118,47-01-02,תוכנית מעבר - רזרבה,"-3,345",0,0,0,0,B130-Oct-13
2013,04,023,תוספת משרות ללשכות הרבנים הראשיים,7,שינוי פנימי,2,אישור ועדה,120,04-54-01,רבנות ראשית,0,0,0,0,0,B118-Dec-13
2013,04,023,תוספת משרות ללשכות הרבנים הראשיים,7,שינוי פנימי,2,אישור ועדה,120,04-56-01,שיתוף פעולה אזורי,0,0,0,0,0,B118-Dec-13
2013,04,024,העברה למשרד השיכון,8,לרזרבה כללית,2,אישור ועדה,124,04-63-03,פיתוח הנגב והגליל,"-2,500",0,0,0,0,B130-Oct-13
2013,04,024,העברה למשרד השיכון,8,לרזרבה כללית,2,אישור ועדה,124,47-01-02,תוכנית מעבר - רזרבה,"2,500",0,0,0,0,B130-Oct-13
2013,04,025,המשרד לשירותי הדת,9,מרזרבה כללית,2,אישור ועדה,141,04-62-01,מועצות דתיות,"6,846",0,0,0,0,B130-Oct-13
2013,04,025,המשרד לשירותי הדת,9,מרזרבה כללית,2,אישור ועדה,141,04-62-02,תמיכה בשירותי דת,"22,800",0,0,0,0,B130-Oct-13
2013,04,025,המשרד לשירותי הדת,9,מרזרבה כללית,2,אישור ועדה,141,04-62-03,בתי עלמין,"6,900",0,0,0,0,B130-Oct-13
2013,04,025,המשרד לשירותי הדת,9,מרזרבה כללית,2,אישור ועדה,141,04-62-04,תמיכה בהקמת מוסדות דת,0,0,0,"7,800",0,B130-Oct-13
2013,04,025,המשרד לשירותי הדת,9,מרזרבה כללית,2,אישור ועדה,141,04-62-05,שכר,90,0,0,0,0,B130-Oct-13
2013,04,025,המשרד לשירותי הדת,9,מרזרבה כללית,2,אישור ועדה,141,04-62-06,תפעול,"1,210",0,0,"-7,800",0,B130-Oct-13
2013,04,025,המשרד לשירותי הדת,9,מרזרבה כללית,2,אישור ועדה,141,47-01-02,תוכנית מעבר - רזרבה,"-37,846",0,0,0,0,B130-Oct-13
2013,04,026,עודפים משוריינים,5,עודפים,3,הודעה לועדה,0,04-62-02,תמיכה בשירותי דת,"7,242",0,0,0,0,B105-Nov-13
2013,04,027,העברה תקציבית עבור הצטרפות לארגון ה CERN,8,לרזרבה כללית,2,אישור ועדה,154,04-51-01,מטה המשרד,"-3,491",0,0,0,0,B112-Nov-13
2013,04,027,העברה תקציבית עבור הצטרפות לארגון ה CERN,8,לרזרבה כללית,2,אישור ועדה,154,04-51-08,המטה הקיברנטי הלאומי,0,0,0,0,0,B112-Nov-13
2013,04,027,העברה תקציבית עבור הצטרפות לארגון ה CERN,8,לרזרבה כללית,2,אישור ועדה,154,47-01-02,תוכנית מעבר - רזרבה,"3,491",0,0,0,0,B112-Nov-13
2013,04,028,מדע וטכנולוגיה,8,לרזרבה כללית,2,אישור ועדה,156,04-63-03,פיתוח הנגב והגליל,"-1,720",0,0,0,0,B112-Nov-13
2013,04,028,מדע וטכנולוגיה,8,לרזרבה כללית,2,אישור ועדה,156,47-01-02,תוכנית מעבר - רזרבה,"1,720",0,0,0,0,B112-Nov-13
2013,04,029,החטיבה להתיישבות החזר מימון ועוד,9,מרזרבה כללית,2,אישור ועדה,177,04-61-01,מרחב צפון,"16,963",0,0,0,0,B112-Nov-13
2013,04,029,החטיבה להתיישבות החזר מימון ועוד,9,מרזרבה כללית,2,אישור ועדה,177,04-61-02,מרחב מרכז,"66,703",0,0,0,0,B112-Nov-13
2013,04,029,החטיבה להתיישבות החזר מימון ועוד,9,מרזרבה כללית,2,אישור ועדה,177,04-61-03,מרחב מרכז - הר חברון,"23,324",0,0,0,0,B112-Nov-13
2013,04,029,החטיבה להתיישבות החזר מימון ועוד,9,מרזרבה כללית,2,אישור ועדה,177,04-61-04,מרחב דרום,"22,819",0,0,0,0,B112-Nov-13
2013,04,029,החטיבה להתיישבות החזר מימון ועוד,9,מרזרבה כללית,2,אישור ועדה,177,04-61-05,פעולות המטה,"112,863",0,0,0,0,B112-Nov-13
2013,04,029,החטיבה להתיישבות החזר מימון ועוד,9,מרזרבה כללית,2,אישור ועדה,177,47-01-02,תוכנית מעבר - רזרבה,"-242,672",0,0,0,0,B112-Nov-13
2013,04,030,"מו""פ חקלאי",8,לרזרבה כללית,2,אישור ועדה,160,04-61-05,פעולות המטה,"-2,750",0,0,0,0,B105-Nov-13
2013,04,030,"מו""פ חקלאי",8,לרזרבה כללית,2,אישור ועדה,160,04-63-03,פיתוח הנגב והגליל,"-4,503",0,0,0,0,B105-Nov-13
2013,04,030,"מו""פ חקלאי",8,לרזרבה כללית,2,אישור ועדה,160,47-01-02,תוכנית מעבר - רזרבה,"7,253",0,0,0,0,B105-Nov-13
2013,04,031,הקמת חווה מדברית אקולוגית בנגב,8,לרזרבה כללית,2,אישור ועדה,161,04-51-06,הרשות לפיתוח כלכלי של,-333,0,0,0,0,B105-Nov-13
2013,04,031,הקמת חווה מדברית אקולוגית בנגב,8,לרזרבה כללית,2,אישור ועדה,161,47-01-02,תוכנית מעבר - רזרבה,333,0,0,0,0,B105-Nov-13
2013,04,032,העברה למשרד לבטחון פנים - מערכת מחשוב,8,לרזרבה כללית,2,אישור ועדה,180,04-51-01,מטה המשרד,-160,0,0,0,0,B117-Nov-13
2013,04,032,העברה למשרד לבטחון פנים - מערכת מחשוב,8,לרזרבה כללית,2,אישור ועדה,180,47-01-02,תוכנית מעבר - רזרבה,160,0,0,0,0,B117-Nov-13
2013,04,033,"העברה לתקציב המל""ג לטובת בני המגזר הערבי",8,לרזרבה כללית,2,אישור ועדה,187,04-51-06,הרשות לפיתוח כלכלי של,"-1,500",0,0,0,0,B117-Nov-13
2013,04,033,"העברה לתקציב המל""ג לטובת בני המגזר הערבי",8,לרזרבה כללית,2,אישור ועדה,187,47-01-02,תוכנית מעבר - רזרבה,"1,500",0,0,0,0,B117-Nov-13
2013,04,034,עודפים תקציביים - נתיב,5,עודפים,3,הודעה לועדה,0,04-59-01,נתיב,"3,442",0,0,0,0,B125-Nov-13
2013,04,035,"תגבורת תכנית ""סופת חול""",8,לרזרבה כללית,2,אישור ועדה,194,04-51-01,מטה המשרד,"-15,000",0,0,0,0,B127-Nov-13
2013,04,035,"תגבורת תכנית ""סופת חול""",8,לרזרבה כללית,2,אישור ועדה,194,47-01-02,תוכנית מעבר - רזרבה,"15,000",0,0,0,0,B127-Nov-13
2013,04,036,כפרי סטודנטים,7,שינוי פנימי,2,אישור ועדה,215,04-56-01,שיתוף פעולה אזורי,"-5,000",0,0,0,0,B127-Nov-13
