שנה ראשונה,מספר סעיף,שם הסעיף,הוצאה ברוטו,"מספרי סעיפים בשנה הקודמת, מופרדים בפסיקים"
2005,C002606,ים וחופים,8978,C002606
2005,C009410,בית חולים עירוני       ממשלתי בני ציון בחיפה  (401+16 מיטות),536060,C009410
2005,C009480,"הכנסות בי""ח עירוני     ממשלתי חיפה",536060,
2006,C000208,גימלאות חברי כנסת,132000,C0012030101
2006,C002431,עתודה להסכמי תקינה,15906,C002431
2006,C008307,מימון תוכניות הבראה    גופים במשבר,600000,
2007,C000083,מלוות פנים,107250000,
2007,C000084,מלוות חוץ,21102000,
2007,C001211,גמלאות,13310538,C0012
2007,C001212,הסדר קרנות הפנסיה,4000000,
2007,C001213,תפעול מנהלת הגמלאות,43514,
2007,C002301,תחום פעולה כללי,561552,C002301
2007,C004505,מלוות פנים,56784000,C0045
2007,C004506,מלוות חוץ,14262000,C0045
2007,C005601,נציבות שוויון זכויות,13284,C005601
2007,C006719,תמיכה בארגונים רפואים  אחרים,215000,C006719
2007,C008405,מלוות פנים,98336000,C0084
2007,C008406,מלוות חוץ,20852000,C0084
2007,C009803,תכנון תשתית ופינויים,2452124,
2007,C009807,רזרבה להוצאות בגין,487440,
2007,C009808,תשלומים מיוחדים,1864000,
2007,C009875,רזרבה להכנסות בגין     שיווקים בילתי צפויים   מראש,487440,
2008,C000053,"גביית קרן במט""ח",60000,
2008,C004101,רשות המים,185220,C003420
2008,C004102,המנהל לפיתוח תשתיות    ביוב,6420,C003423
2008,C004103,מנהל המים - הממונה על  התאגידים,22548,
2008,C005201,תקציב פיתוח - משטרה,493310,
2008,C005203,תקציב פיתוח בתי סוהר,182446,
2008,C005210,תקציב פיתוח - משרד     לביטחון פנים,32860,
2009,C000042,תמלוגים ממפעלים עסקיים,680396,
2009,C000063,הכ. ממנהל מקרקעי ישראל,463224,
2009,C003704,פעולות תכנון וכלכלה,8270,
2009,C003709,אשראי לענף המלונאות,15790,
2009,C006804,מנהל האוכלוסין,354951,
2009,C008301,השקעות במפעלי הממשלה,1400000,
2011,C000007,מס מעסיקים,400000,
2011,C000071,הפרשות לפנסיה-יח'משקיות,17822,
2011,C000209,מוזיאון הכנסת,163000,
2011,C002311,נוער צעירים ושירותי    תקון,829596,
2011,C002402,משרד ראשי,907842,
2011,C002404,"יחידות מסונפות לבתיה""ח",152740,
2011,C002407,מינהל רפואה,4485958,
2011,C002416,בריאות הציבור,1599172,
2011,C007934,נתיבי ישראל,2250000,
2011,C009411,"מרכז רפואי עירוני      ממשלתי תל-אביב - יפו   ע""ש סוראסקי            (1,050+76)",2619656,
2011,C009876,הכנסות נכסי רשות       הפיתוח -               העברה ממשרד הבינוי     והשיכון,100420,
2013,C000452,משרדי ממשלה ולשכות שרים,377568,
2013,C000464,רשות הבדואים,46040,
2013,C000551,משרד האוצר ראשי,896943,
2013,C000622,שירותי דת לעדות לא     יהודיות וליהודים קראים,125028,
2013,C000631,היחידה הארצית לפיקוח   על הבנייה,43740,
2013,C000760,כבאות והצלה,1444250,
2013,C000780,משטרת ישראל,17441378,
2013,C000851,משרד ראשי,2658872,
2013,C000852,בתי דין באחריות משרד   המשפטים,47932,
2013,C001410,מימון מפלגות,389746,
2013,C001502,פינוי מוקשים,51374,
2013,C001540,פינוי מחנות,55998,
2013,C001617,עורף לאומי,347256,
2013,C001940,מנהל מדע,320091,
2013,C001941,מטה המשרדים,126428,
2013,C001942,מינהל התרבות,1548462,
2013,C001943,מינהל הספורט,263524,
2013,C001944,רזרבות,18520,
2013,C002613,קרנות,403600,
2013,C003250,תמיכות בחקלאות,1881892,
2013,C003302,מנהל המחקר החקלאי,519468,
2013,C003630,שכר ותפעול,904711,
2013,C003640,"רגולציה, מחקר ואכיפה - שוק העבודה",86988,
2013,C003642,עידוד תעסוקת אוכלוסיות ייעודיות,409548,
2013,C003702,פיתוח המוצר התיירותי,33592,
2013,C003840,עידוד המגזר העסקי,1409912,
2013,C004050,משרד ראשי,561294,
2013,C004051,תחבורה ימית,46462,
2013,C004052,תעופה,101700,
2013,C004053,בטיחות בדרכים,258518,
2013,C004054,תחבורה ציבורית,10594,
2013,C004059,רזרבה,30260,
2013,C004204,רזרבות,133938,
2013,C004304,רזרבות,6982,
2013,C005410,הרשות להגבלים עסקיים,80192,
2013,C005411,הרשות להגנת הצרכן      ולסחר הוגן,21966,
2013,C005412,המועצה הישראלית        לצרכנות,8124,
2013,C007002,בנייה חדשה,2416048,
2013,C007003,פעולות פיתוח במרקם     הותיק,336832,
2013,C007005,דיור ציבורי,887382,
2013,C007006,פיתוח תשתיות יישובי    ההתנתקות,142200,
2013,C007803,ים המלח,670620,
2013,C008302,פיתוח משרד האוצר,49142,
2013,C009510,הוצאות,84246,
2013,C009820,"הוצאות כלליות, מטה,    חטיבות ומרחבים",742272,
2013,C009821,שמירה וניהול הקרקע,316000,
2013,C009822,עיסקאות,8768368,
2013,C009823,העברות לבעלים,3944000,
2013,C009824,הקרן לשטחים פתוחים,170000,
2013,C009825,רזרבות,8760,
2014,C000406,השלמת טיפול במפוני     ההתנתקות,470404,
2014,C003660,מנהלת השירות           האזרחי-לאומי,252498,
2014,C009874,החזר הכנסות שלא מויינו,2,
1993,C00000100,מס הכנסה,25380000,
1993,C00000200,מס ערך מוסף על מלכרים,2580000,
1993,C00000300,מס שבח,430000,
1993,C00000400,מס רכישה,800000,
1993,C00000500,מס רכוש,460000,
1993,C00000700,מס מעסיקים,380000,
1993,C00001100,מכס והיטל על היבוא,1840000,
1993,C00001200,"מע""מ לל יבוא בטחוני",17815000,
1993,C00001210,"מע""מ עם יבוא בטחוני",812000,
1993,C00001300,מס קניה,5340000,
1993,C00001500,בלו,520000,
1993,C00001800,מס דלק,2550000,
1993,C00002000,מס בולים,310000,
1993,C00002400,אגרות כלי רכב,520000,
1993,C00002500,אגרות ורשיונות אחרים,600000,
1993,C00002800,הפחתות מסים שטרם נקבעו,-780000,
1993,C00003400,"ריבית במט""ח",205000,
1993,C00003500,גביית ריבית,1037000,
1993,C00003700,ריבית ממפעלים עסקיים,5200,
1993,C00004200,תמלוגים ממפעלים עסקיים,62400,
1993,C00004300,תמלוגים מאצרות טבע,37440,
1993,C00004400,תמלוגים מחברות ממשלתיות,364000,
1993,C00004500,"דיוידנדים מחברות ממשל""ת",239200,
1993,C00004600,"החזרות ע""ח תקציב קודם",104000,
1993,C00004700,הכנסות משרותים שונים,239200,
1993,C00004800,הכנסה מיועדת מעל האומדן,52000,
1993,C00004900,רווחי בנק ישראל שמומשו,615000,
1993,C00005100,גביית קרן,2482320,
1993,C00006300,"הכנסה ממינהל מקר"" ישראל",552150,
1993,C00007100,הפרשות יחידות משקיות,50470,
1993,C00007200,הפרשות מפעלים עסקיים,14730,
1993,C00007500,"הכנסות הון בחו""ל",500000,
1993,C00007600,הכנסות הון בארץ,1800000,
1993,C00008100,"מל"" מהמוסד לביטוח לאומי",2980000,
1993,C00008200,הכנסה מאמיסיות והפקדות,15469497,
1993,C00009000,מילווה העצמאות והפיתוח,3037400,
1993,C00009010,בניכוי: הוצאות הפצה,-276000,
1993,C00009020,"מילוות מארה""ב - בטחון",5083900,
1993,C00009040,"מי""ל מארה""ב: סיוע אזרחי",3390914,
1993,C00009080,הלוואות אחרות,2815000,
1993,C00202111,אגף החינוך הדתי,4307,
1993,C00202310,קרנות ומענקי השתלמות,208369,
1993,C00241385,תחנה לבריאות הנפש אילת,117,
1993,C00332401,הנהלה ומינהל,38539,
1993,C00333501,תקציב המשרד,3402,
1993,C00333502,תקציב מינהל המחקר,1685,
1993,C00333503,תשתיות ומענקי השקעות,3376,
1993,C00341101,פיתוח אנרגיות חלופיות,20949,
1993,C00600202,בנית בתי ספר יסודיים,161748,
1993,C00987216,דמי הסכמה,30160,
1994,C00110101,הנהלה,1193,
1994,C00110102,תכנון עריכה ויעוץ,3099,
1994,C00110104,הדרכה,1010,
1994,C00110105,"אמרכלות שיא כ""א",559,
1994,C00110106,אמרכלות רכישות,1400,
1994,C00110201,בקורת משרדי ממשלה,12164,
1994,C00110202,ביקורת מערכת הבטחון,5520,
1994,C00110203,ביקורת רשויות מקומיות,6191,
1994,C00110204,ביקורת איגודים ממשלתיים,5710,
1994,C00110207,"ביקורת בחו""ל",85,
1994,C00110208,"אמרכלות שיא כ""א",3402,
1994,C00110209,אמרכלות רכישות,8530,
1994,C00110301,הנהלה,802,
1994,C00110302,טיפול בתלונות,5324,
1994,C00110303,"אמרכלות שיא כ""א",1117,
1994,C00110304,אמרכלות רכישות,2801,
1994,C00110401,רזרבה,1500,
1994,C00241605,שיקום שכונות,5757,
1994,C00370315,עידוד תיירות פנים,4651,
1994,C00670202,"ביה""ח ממשלתיים",4112,
1994,C00670302,סקטור ממשלתי,11381,
1994,C00670402,גריאטריה,1004,
1994,C00670403,פסיכיאטריה,1004,
1994,C00670404,בריאות הציבור,528,
1994,C00670501,פרוייקט מיחשוב מרכזי,4850,
1994,C00670601,רזרבה להתייקרויות,4659,
1995,C00005000,דמי שימוש בנכסים ממשלתי,125000,
1995,C00080106,סניגוריה ציבורית,1942,
1995,C00172080,"תקציב מת""ק איו""ש",2284,
1995,C00173001,"מטה המת""ק",11505,
1995,C00173003,משרד האוצר,17228,
1995,C00173004,משרד מכס ומס הכנסה,912,
1995,C00173005,מנהל הרכב,2194,
1995,C00173006,משרד הפנים,2157,
1995,C00173007,מרשם אוכלוסין,1922,
1995,C00173008,משרד המשפטים,238,
1995,C00173009,משרד העבודה,1079,
1995,C00173010,משרד הבריאות,676,
1995,C00173011,משק וכלכלה,4534,
1995,C00173012,משרד החקלאות,660,
1995,C00173013,משרד התעשיה והמסחר,1294,
1995,C00173014,משרד התחבורה,664,
1995,C00173015,משרד דואר ותקשורת,867,
1995,C00173016,נכסים,1053,
1995,C00231209,שירותים לזקן,563,
1995,C00242001,תמיכה בחוק ביטוח בריאות,881984,
1995,C00242010,רזרבה להתייקרות,27278,
1995,C00300711,רזרבה להתיקרויות,41437,
1995,C00300712,רזרבה,9605,
1995,C00370103,מידע ובקרה,1540,
1995,C00370320,פיתוח מגזרי שוק שונים,1005,
1995,C00380404,"תמיכות בשיווק לחו""ל",102815,
1995,C00382001,רזרבה להתיקרויות,8122,
1995,C00460101,מענקי שיחרור,59200,
1995,C00460102,קרן פקדון,150000,
1995,C00460103,קרן לסיוע נוסף,70000,
1995,C00460104,שכר,2250,
1995,C00460105,הוצאות תפעול,980,
1995,C00460108,רזרבה להתייקרויות,11975,
1995,C00460109,רזרבה לתשלומי העברה,103845,
1995,C00600210,בניית כיתות לימוד,322254,
1995,C00670301,תכנון,3163,
1995,C00670303,סקטור ציבורי,5272,
1995,C00670602,רזרבה,15265,
1996,C00007300,הפרשות לפנסיה - חברות,13000,
1996,C00050210,מערכות מידע ומיכון,9157,
1996,C00140201,רזרבה להתייקרויות      מימון מפלגות,6225,
1996,C00143005,רזרבה להתייקרויות -    ועדת הבחירות המרכזית,2049,
1996,C00171001,"פעולות מרת""ק",13846,
1996,C00171005,"רזרבה מרת""ק",3000,
1996,C00171010,תכניות שונות,5700,
1996,C00174001,רזרבה אוצרית,22412,
1996,C00190103,מחשוב,1476,
1996,C00202106,ארגוני הורים,273,
1996,C00202112,פעולות ויוזמות במערכת  החינוך,4182,
1996,C00203011,"מענקים לפיתוח מבני     תרבות ספורט מתנ""סים    ונוער",11572,
1996,C00203015,"שיפוצים והצטיידות בבי""ס",103549,
1996,C00210201,השתתפות בתקציבי        המוסדות להשכלה גבוהה,3250176,
1996,C00210601,מענקים לפיתוח מוסדות   להשכלה גבוהה,86925,
1996,C00231073,תוכנית לטיפול בעולים   חדשים,23946,
1996,C00241930,תמיכות בארגונים        רפואיים אחרים,20487,
1996,C00269801,רזרבה להתייקרויות,5038,
1996,C00290812,תוכנית האצת הבניה      - פרויקטים,2251,
1996,C00290814,שיקום שכונות והוצאות   ניהול לשיקום שכונות,50736,
1996,C00370104,חברות תשתית תיירותית,8365,
1996,C00380303,ערבות מדינה (תיקון 39),37032,
1996,C00381203,מימושי ערבויות מדינה   ובקרה על ערבויות       - עסקים קטנים,16887,
1996,C00540101,שכר ופעולות,6017,
1996,C00540102,רזרבות,227,
1996,C00600215,תשתיות היקפיות למבני   חינוך,17445,
1996,C00830401,השקעות שונות,399114,
1997,C00000301,מס שבח,1270000,
1997,C00000401,מס רכישה,1850000,
1997,C00001801,מס דלק,5170000,
1997,C00004301,תמלוגים מאוצרות טבע,70000,
1997,C00004401,תמלוגים מחברות ממשלתיות,740000,
1997,C00004601,"החזר ע""ח שנים קודמות",60000,
1997,C00004701,הכנסות שונות,550000,
1997,C00004801,הכנסה מיועדת מעל האומדן,180000,
1997,C00004901,העברה מחלק ב',17886573,
1997,C00005001,דמי שימוש בנכסים ממשלתי,140000,
1997,C00007301,הפרשות לפנסיה - חברות,21000,
1997,C00007501,מכירת חברות ממשלתיות,4000000,
1997,C00008101,מלוה מהמוסד לבטוח לאומי,6871811,
1997,C00009501,העברה לחלק א',-17886573,
1997,C00110501,רזרבה לשכר,2600,
1997,C00202104,פרסי ישראל,1022,
1997,C00202121,רזרבה לשכר,112414,
1997,C00202611,שעות תקן-חינוך יסודי,3387935,
1997,C00202612,חינוך מיוחד,1328893,
1997,C00202703,"שעות תקן חט""ב",967695,
1997,C00202708,תלמידים בפנימיות ומרכזינוער,45655,
1997,C00202710,אגף הבחינות,86724,
1997,C00202804,אחזקת תלמידים בפנימיות,191315,
1997,C00203003,ישובים נתמכים,12692,
1997,C00320225,רזרבה,6856,
1997,C00360601,מטה לקידום עסקים,3461,
1997,C00380108,ביטוח משנה עבור ביטוח  שער,16367,
1997,C00430101,שכר,29360,
1997,C00540201,שכר ופעולות,5443,
1997,C00540202,רזרבות,209,
1997,C00670401,הצטיידות,13392,
1998,C00000102,מס הכנסה שכירים,28268000,
1998,C00000202,"מע""מ על מלכרים",3550000,
1998,C00001402,"תקבולי מע""מ נטו",35760000,
1998,C00070101,שיא כח אדם,26484,
1998,C00110205,ביקורת פעולות ע.נ.א,2499,
1998,C00300322,פעולות מינהל הסטודנטים,59132,
1998,C00381301,כלים משלימים לחוק עידודהשקעות הון,212116,
1998,C00390890,פעולות,2212,
1998,C00940101,"הוצאות שכר של מרכז     רפואי ע""ש ד""ר שיבא     תל-השומר",436272,
1998,C00940102,"קניות מרכז רפואי ע""ש   שיבא תל השומר",211000,
1998,C00940105,העברה להכנסות מרכזיות,113368,
1998,C00940202,"קניות בי""ח רמב""ם חיפה",152500,
1998,C00940205,העברה להכנסות מרכזיות,63366,
1998,C00940301,"הוצאות שכר של בי""ח     נהריה",176321,
1998,C00940302,"קניות בי""ח נהריה",79700,
1998,C00940305,העברת להכנסות מרכזיות,46139,
1998,C00940401,"הוצאות שכר של בי""ח ע""ש וולפסון תל-גיבורים",212659,
1998,C00940402,"קניות בי""ח ע""ש וולפסון תל-גיבורים",102600,
1998,C00940405,העברה להכנסות מרכזיות,55171,
1998,C00940501,"הוצאות שכר של בי""ח     אסף הרופא צריפין",266378,
1998,C00940502,"קניות בי""ח ע""ש אסף     הרופא צריפין",108100,
1998,C00940505,העברה להכנסות מרכזיות,25082,
1998,C00940601,"הוצאות שכר של בי""ח     הלל יפה חדרה",149832,
1998,C00940602,"קניות בי""ח הלל-יפה     בחדרה",50700,
1998,C00940605,הכנסות מרכזיות,12918,
1998,C00940701,"הוצאות שכר של מרכז     רפואי ע""ש ברזילי אשקלון",157777,
1998,C00940702,"קניות מרכז רפואי ע""ש   ברזילי אשקלון",47900,
1998,C00940705,השתתפות בהכנסות מרכזיות,10093,
1998,C00940801,"הוצאות שכר בי""ח פוריה",86817,
1998,C00940802,קניות,22800,
1998,C00940805,העברה להכנסות מרכזיות,1233,
1998,C00940901,"הוצאות שכר של בי""ח     זיו-צפת",129476,
1998,C00940902,"קניות בי""ח - צפת",23554,
1998,C00941101,הוצאות שכר של מרכז     רפואי עירוני ממשלתי    תל אביב יפו,502770,
1998,C00941102,קניות מרכז רפואי עירוניממשלתי תל אביב יפו,123940,
1999,C00003501,גביית ריבית,2828000,
1999,C00004501,דוידנדים מחברות ממשלתיו,1174000,
1999,C00005101,גביית קרן,5054000,
1999,C00040221,הרשות לקידום מעמד האשה,97,
1999,C00071501,גמלאות משטרה,746574,
1999,C00120201,"גמלאות עובדי המדינה ע""פחוק הגמלאות",3318980,
1999,C00120301,"גמלאות ע""פ חוק גמלאות  לנושאי משרה",172058,
1999,C00120401,עובדי ממשלת המנדט,776,
1999,C00120501,"גמלאות ע""פ הסדרים      חיצוניים",172318,
1999,C00120601,מיכון גמלאות לעובדי    המדינה,6421,
1999,C00120701,פיצויים לעובדי המדינה,62789,
1999,C00120801,רזרבה להתייקרויות,91389,
1999,C00130120,פיתוח והפעלת תוכניות   רווחה לעובדי וגמלאי    שרות המדינה,4607,
1999,C00202404,מענק ירושלים הבירה,26901,
1999,C00203120,מוסדות להשכלה,26109,
1999,C00230880,טיפול חוץ ביתי         באוטיסטים,16108,
1999,C00240424,מרכז הדרכה לאזור הצפון,638,
1999,C00242003,"השלמת עלות סל שירותי   בריאות עפ""י סעיף 13    (א) לחוק ביטוח         בריאות ממלכתי",8522000,
1999,C00300503,מקבצי דיור - השלמת שכר דירה לנזקקים,78434,
1999,C00420903,ותיקים חסרי דירה,563305,
1999,C00520117,הקמה ושיפוץ מבני משטרה,89730,
1999,C00540301,תקציב רגיל,16800,
1999,C00706704,דיור לקשיש,85013,
2000,C00000103,מס הכנסה סקטור עסקי,30920000,
2000,C00000203,"מע""מ על פיננסים",1190000,
2000,C00001101,מכס והיטל על היבוא,9790000,
2000,C00001303,מס קניה מקומי,860000,
2000,C00001501,מס טבק - בלו,1010000,
2000,C00020201,מרכיבי שכר חברי הכנסת,46170,
2000,C00020202,תנאי חברי הכנסת,29067,
2000,C00020301,שירותים מקצועיים,16828,
2000,C00020302,קשרי חוץ טקסים וקרנות,7118,
2000,C00020304,הוצאות עובדי הכנסת,64485,
2000,C00020305,אמרכלות,29470,
2000,C00020306,ביטחון,23642,
2000,C00020307,ניהול מערכות מחשב,11040,
2000,C00020401,רזרבה,7500,
2000,C00071014,אמרכלות סוהרים,40404,
2000,C00071015,אמרכלות אסירים,61913,
2000,C00130122,הפרטת בנקים,6312,
2000,C00190701,רזרבה,21920,
2000,C00202108,קשרי חוץ,5541,
2000,C00202409,חינוך יהודי בתפוצות,30016,
2000,C00202412,"מתנס""ים",147507,
2000,C00240426,"עירוני ממשלתי חיפה ע""ש זיידה בית ספר לאחיות",3277,
2000,C00240429,"ע""ש מטיוס חדרה - בי""ס  לאחיות",2033,
2000,C00240430,"ע""ש שינבורן-מרכז רפואי עירוני ממשלתי תל-אביב  בית ספר לאחיות",4025,
2000,C00240434,"ביה""ח תל-השומר בי""ס    לאחיות",4307,
2000,C00240440,וולפסון תל גיבורים     בית ספר לאחיות,2337,
2000,C00240442,"אסף הרופא בי""ס לאחיות",3387,
2000,C00241021,פרדס חנה - מרכז גריאטרי( 970 מיטות),68080,
2000,C00241337,יפו - מרכז לגמילה מסמיםליד מרכז קהילתי        (12 מיטות),3773,
2000,C00241343,יפו - מרכז קהילתי      כוללני לבריאות הנפש    (50 מיטות יום),12393,
2000,C00241344,גוש דן - שרות קהילתי   לבריאות הנפש,6494,
2000,C00241622,תל השומר - מעבדה מרכזיתלנגיפים,5856,
2000,C00241642,חיפה - תחנה להתפתחות   הילד,1068,
2000,C00391001,קידום והסדרת התחרות,1625,
2000,C00706721,פינוי בינוי והתחדשות   עירונית,16504,
2000,C00899001,הכנסות,201352,
2000,C00947101,"הכנסות מרכז רפואי ע""ש  ד""ר שיבא תל-השומר",878481,
2000,C00947301,"הכנסות בי""ח וולפסון    תל גיבורים",407547,
2000,C00947501,"הכנסות ב""ח ע""ש אסף     הרופא צריפין",446594,
2000,C00947601,"הכנסות בי""ח הלל יפה    חדרה",236805,
2000,C00947701,"הכנסות מרכז רפואי ע""ש  ברזילי אשקלון",259719,
2000,C00947801,"הכנסות בי""ח פוריה",128190,
