budget_code,publication_id,reason,description,volume
20261266,549713,3ג,"הוועדה המשרדית אישרה הארכה עם עמותת תללי""ם למסגרת השנה הרביעית למכרז היקפים משתנים 24/6.10 להפעלת שירותי חינוך לילדים חולים בביתם. ההתקשרות אושרה לפי תקנה 3ג מימוש זכות ברירה בהסכם",13533260
20230801,549711,3ג,"הוועדה המשרדית אישרה הארכת התקשרות עם אורט ישראל במסגרת המכרז והחוזה 39/11.12 , לשנה שנייה לביצוע קורסי פיתוח מקצועי. ההתקשרות אושרה לפי תקנה 3ג לתח""מ - מימוש זכות ברירה בהסכם שנחתם בעקבות מכרז.",1158720
20270593,549710,3ג,"ועדת הרכישות המשרדית אישרה הארכת התקשרות עם סייט אנד סאונד לארגון והפעלה קורסים להכנה לבחינות בגרות ללוחמים למסגרת השנה הרביעית למכרז 40/10.09. ההתקשרות אושרה לפי תקנה תקנה 3ג לתח""מ מימוש זכות ברירה.",1573707
20261145,549705,3ג,"ועדת הרכישות המשרדית אישרה הארכת התקשרות עם מרכז הספר והספריות, כספק יחיד, לביצוע רכש עבור פרוייקט ספרית פיג'מה למגזר הערבי מאחר שפורסמה הודעה באינטרנט בדבר הכוונה להתקשר עם ספק יחיד עם אופציה להארכה והרחבה בהיקף דומה ולא התקבלו השגות.",2499967
20240869,549681,3(4)(ב)(1),"התקשרות עם חברת ביגיפטס ישראל בע""מ (בעבר צרל'ס בוחבוט) לרכישת בובות חיבוקי לילדים בגילאי טרם חובה וחובה, פקויקט המשלב בתוכו טיפול בבובה ועוזר בטיפול בחרדות לילדים. הארכת התקשרות ללא תוספת תקציב לפי תקנה 3(4)(ב)(1).",500015
20240265,549672,3ג,"הארכת התקשרות עם קרן רש""י לקיום תוכנית ""אסכולה"" תכנית לשיפור הישגם והעלאת שיעור הזכאים לתעודת בגרות בקרב תלמידים בכיתות אתג""ר של אגף שח""ר לפי תקנה 3ג.",1857359
20210241,549670,3(29),"התקשרות עם חב' יפעת כספק יחיד 3(29) למתן שרותי הפקה ואספקת לקטי וקטעי עיתונות, תמלול קטעי רדיוו וטלויזיה.",700000
20240591,549669,3(30),התקשרות עם קרן אלי ויזל מביזם משותף לפי תקנה 3(30) להפעלת פרוייקט לקידום חברתי לימודי של בני העדה האתיופית.,1003000
20240593,549668,3(30),התקשרות עם מכון מנ'דל למנהיגות חינוכית במיזם משותף לפי תקנה 3(30) להפעלת תכנית מנדל למנהיגות חינוכית.,2705272
20241639,549665,3(4)(ב)(2),הרחבת התקשרות עם חברת טלדור לצורך השלמת תכנית העבודה בנושא ניהול התקצוב והבקרה על מכינות קדם אקדמיות ומוסדות לימוד בפרוייקט השר לפי תקנה 3(4)(ב)(2).,1497420
20312204,549660,3(29),התקשרות עם חב' אבידב לצורך תחזוקה ופיתוחים במערכת הממוחשבת במחלקה לתרבות חרדית ובאגף לתרבות תורנית. לפי תקנה3(29).,431644
20210504,549659,3(29),התקשרות עם חב' יבמ לביצוע תחזוקת המחשב המרכז וציוד היקפי. לפי תקנה 3(29).,"1,425,482.48"
20381130,549658,3(4)(ב)(2),"הארכת התקשרות עם חברת מל""מ מערכות לצורך תחזוקה שנתית והתאמות נדרשות במערכת תלמוד. לפי תקנה 3(4)(ב)(2).","397,612.8"
20230801,549655,3ג,"מאשרים הארכת התקשרות במסגרת המכרז והחוזה עם יד יצחק בן צבי לביצוע קורסי פיתוח מקצועי לעו""ה.",5610
20230801,549653,3ג,"מאשרים הארכת התקשרות במסגרת המכרז והחוזה עם האוניברסיטה הפתוחה לביצוע קורסי פיתוח מקצועי לעו""ה.",2913504
20210504,549652,3(4)(ב)(2),הארכת התקשרות עם חב' EAS - פיתוח ותחזוקה של מערכת תשלומיםן ותמיכות למוסדות תורניים. לפי סעיף בתקנה 3(4)(ב)(2).,"278,971.26"
20230801,549650,3ג,"מאשרים הארכת התקשרות במסגרת המכרז והחוזה לשנה שנייה עם מכללת דויד ילין לצורך ביצוע קורסי פיתוח מקצועי לעו""ה.",1402440
20210504,549649,3(29),"התקשרות עם חברת מטריקס איי.טי מוצרי תוכנה בע""מ לצורך תחזוקת מוצרי תוכנה של חברת BMC ספק יחיד לפי תקנה 3(29).","674,046.09"
20230801,549648,3ג,"מאשרים הארכת התקשרות במסגרת המכרז והחוזה לשנה שנייה עם מכון וינגייט לביצוע קורסי פיתוח מקצועי לעו""ה.",558000
20210745,549647,3(29),"התקשרות עם מכון סאלד, למתן שרותי מאגר פרסומי ומאגר כלי חקר וסדנאות ספק יחיד 3(29).",598600
20230801,549646,3ג,"מאשרים הארכת התקשרות במסגרת המכרז והחוזה לשנה שנייה עם מכללת אוהלו לביצוע קורסי פיתוח מקצועי לעו""ה.",1316880
20230801,549644,3ג,"מאשרים הארכת התקשרות במסגרת המכרז והחוזה לשנה שנייה עם רביבים ייעוץ לביצוע קורסי פיתוח מקצועי לעו""ה.",252450
20230801,549643,3ג,"מאשרים הארכת התקשרות במסגרת המכרז והחוזה לשנה שנייה עם מכללת חמדת הדרום לביצוע קורסי פיתוח מקצועי לעו""ה.",1060200
20230801,549642,3ג,"מאשרים הארכת התקשרות במסגרת המכרז והחוזה לשנה שנייה עם מכללה ירושלים לביצוע קורסי פיתוח מקצועי לעו""ה.",736188
20230801,549640,3ג,"מאשרים הארכת התקשרות במסגרת המכרז והחוזה לשנה שנייה עם נשי אמי""ת לביצוע קורסי פיתוח מקצועי לעו""ה.",206550
20230801,549639,3ג,"מאשרים הארכת התקשרות במסגרת המכרז והחוזה לשנה שנייה עם עת הדעת מערכות חינוך בע""מ לביצוע קורסי פיתוח מקצועי לעו""ה.",153000
20241412,549634,3ג,"ועדת הרכישות המשרדית אישרה הארכת התקשרות עם אקסיומה לשנה שלישית במכרז 11/6.11 לביצוע הוראה וחניכה במסגרת תכנית קדם עתידים. ההתקשרות אושרה לפי תקנה 3ג לתח""מ - מימוש זכות ברירה בהסכם שנכרת בעקבות מכרז.",9321671
20271026,549633,3ג,"ועדת הרכישות המשרדית אישרה הארכת התקשרות למסגרת שנה רביעית עםתגבור במסגרת האופציה שהוגדרה להארכה במכרז 39/10.09 - למתן שרותי השגחה על בחינות בגרות והגמר. ההתקשרות אושרה לפי תקנה 3ג לתח""מ - מימוש זכות ברירה בהסכם שנכרת בעקבות מכרז.",50375660
20271026,549631,3ג,"ועדת הרכישות המשרדית אישרה הארכת התקשרות למסגרת שנה השלישית עם חב' או.אר.אס במסגרת האופציה שהוגדרה להארכה במכרז 39/10.09 - למתן שרותי השגחה על בחינות בגרות והגמר. ההתקשרות אושרה לפי תקנה 3ג לתח""מ - מימוש זכות ברירה בהסכם שנכרת בעקבות מכרז.",24137622
20230801,549621,3ג,"ועדת הרכישות המשרדית אישרה הארכת התקשרות עם מכללת אחוה, לשנה שנייה במסגרת ההסכם והמכרז 39/11.12, לביצוע קורסי פיתוח מקצועי לעו""ה. ההתקשרות אושרה לפי תקנה 3ג לתח""מ מימוש זכות ברירה בהסכם שנכרת בעקבות מכרז.",1432944
20230801,549620,3ג,"ועדת הרכישות המשרדית אישרה הארכת התקשרות עם מכללת הרצוג, לשנה שנייה במסגרת ההסכם והמכרז 39/11.12, לביצוע קורסי פיתוח מקצועי לעו""ה. ההתקשרות אושרה לפי תקנה 3ג לתח""מ מימוש זכות ברירה בהסכם שנכרת בעקבות מכרז.",866760
20230801,549619,3ג,"ועדת הרכישות המשרדית אישרה הארכת התקשרות עם מכללת ליפשיץ, לשנה שנייה במסגרת ההסכם והמכרז 39/11.12, לביצוע קורסי פיתוח מקצועי לעו""ה. ההתקשרות אושרה לפי תקנה 3ג לתח""מ מימוש זכות ברירה בהסכם שנכרת בעקבות מכרז.",1283400
20230801,549618,3ג,"ועדת הרכישות המשרדית אישרה הארכת התקשרות עם כל ישראל חברים, לשנה שנייה במסגרת ההסכם והמכרז 39/11.12, לביצוע קורסי פיתוח מקצועי לעו""ה. ההתקשרות אושרה לפי תקנה 3ג לתח""מ מימוש זכות ברירה בהסכם שנכרת בעקבות מכרז.",7650
20230801,549617,3ג,"ועדת הרכישות המשרדית אישרה הארכת התקשרות עם מכללת שאנן, לשנה שנייה במסגרת ההסכם והמכרז 39/11.12, לביצוע קורסי פיתוח מקצועי לעו""ה. ההתקשרות אושרה לפי תקנה 3ג לתח""מ מימוש זכות ברירה בהסכם שנכרת בעקבות מכרז.",343728
20230801,549616,3ג,"ועדת הרכישות המשרדית אישרה הארכת התקשרות עם אונ' בר אילן, לשנה שנייה במסגרת ההסכם והמכרז 39/11.12, לביצוע קורסי פיתוח מקצועי לעו""ה. ההתקשרות אושרה לפי תקנה 3ג לתח""מ מימוש זכות ברירה בהסכם שנכרת בעקבות מכרז.",1623780
20230801,549615,3ג,"ועדת הרכישות המשרדית אישרה הארכת התקשרות עם הקריה האקדמית אונו לשנה שנייה, למסגרת מכרז 39/11.12 וההסכם שנכרת בעקבותיו, לביצוע קורסי פיתוח מקצועי לעו""ה, ההתקשרות אושרה לפי תקנה 3ג לתח""מ מימוש זכות ברירה בהסכם שנכרת בעקבות מכרז.",11160
20230801,549614,3ג,"ועדת הרכישות המשרדית אישרה הארכת התקשרות עם מכללת תלפיות לשנה שנייה, למסגרת מכרז 39/11.12 וההסכם שנכרת בעקבותיו, לביצוע קורסי פיתוח מקצועי לעו""ה, ההתקשרות אושרה לפי תקנה 3ג לתח""מ מימוש זכות ברירה בהסכם שנכרת בעקבות מכרז.",1060200
20230801,549613,3ג,"ועדת הרכישות המשרדית אישרה הארכת התקשרות עם רשת עמללשנה שנייה, למסגרת מכרז 39/11.12 וההסכם שנכרת בעקבותיו, לביצוע קורסי פיתוח מקצועי לעו""ה, ההתקשרות אושרה לפי תקנה 3ג לתח""מ מימוש זכות ברירה בהסכם שנכרת בעקבות מכרז.",122910
20230801,549612,3ג,"ועדת הרכישות המשרדית אישרה הארכת התקשרות עם מכללת קיי לשנה שנייה, למסגרת מכרז 39/11.12 וההסכם שנכרת בעקבותיו, לביצוע קורסי פיתוח מקצועי לעו""ה, ההתקשרות אושרה לפי תקנה 3ג לתח""מ מימוש זכות ברירה בהסכם שנכרת בעקבות מכרז.",2596560
20230801,549611,3ג,"ועדת הרכישות המשרדית אישרה הארכת התקשרות עם מכללת לוינסקי לשנה שנייה, מסגרת מכרז 39/11.12 וההסכם שנכרת בעקבותיו, לביצוע קורסי פיתוח מקצועי לעו""ה, ההתקשרות אושרה לפי תקנה 3ג לתח""מ מימוש זכות ברירה בהסכם שנכרת בעקבות מכרז.",1889016
20230801,549610,3ג,"ועדת הרכישות המשרדית אישרה הארכת התקשרות עם האונ' העברית לשנה שנייה, מסגרת מכרז 39/11.12 וההסכם שנכרת בעקבותיו, לביצוע קורסי פיתוח מקצועי לעו""ה לתקופה 22/12/13 - 31/8/14, בהיקף 1,143,528 ש""ח. ההתקשרות אושרה לפי תקנה 3ג לתח""מ מימוש זכות ברירה בהסכם שנכרת בעקבות מכרז.",1143528
20230801,549609,3ג,"ועדת הרכישות המשרדית אישרה הארכת התקשרות לשנה שנייה, מסגרת מכרז 39/11.12 וההסכם שנכרת בעקבותיו, לביצוע קורסי פיתוח מקצועי לעו""ה לתקופה 22/12/13 - 31/8/14, בהיקף 1,237,644 ש""ח. ההתקשרות אושרה לפי תקנה 3ג לתח""מ מימוש זכות ברירה בהסכם שנכרת בעקבות מכרז.",1237644
20230801,549604,3ג,"מאשרים התקשרות במסגרת המכרז והחוזה לשנה שנייה עם אקדמיית אלקסאמי לביצוע קורסי פיתוח מקצועי לעו""ה",1536360
20270953,549603,3(4)(ב)(3),"ועדת הרכישות המשרדית ממליצה לאשר הרחבת התקשרות עם מדרשת שדה בוקר, כזרוע ביצוע של המשרד, למתן שרותי חינוך הדרכה ופעילות חינוכית מחקרית לחינוך למדעי הסביבה בנגב ,למסגרת ההתקשרות שאושרה בועדת הפטור מיום 17/2/13 פני מס' 538731. ההרחבה הנדרשת הינה לתקופה 22/12/13 - 31/12/13, בעלות כוללת 7,792,085ש""ח.",7792085
20230801,549602,3ג,"מאשרים התקשרות במסגרת המכרז והחוזה לשנה שנייה עם סמינר הקיבוצים לביצוע קורסי פיתוח מקצועי לעו""ה",1043832
20230801,549601,3ג,"מאשרים התקשרות במסגרת המכרז והחוזה לשנה שנייה עם סמינר אורנים לביצוע קורסי פיתוח מקצועי לעו""ה",1355940
20230801,549600,3ג,"מאשרים התקשרות במסגרת המכרז והחוזה לשנה שנייה עם מכון ברנקו וייס לביצוע קורסי פיתוח מקצועי לעו""ה",249900
20230801,549599,3ג,"מאשרים התקשרות במסגרת המכרז והחוזה לשנה שנייה עם אוניברסיטת בן גוריון בנגב לביצוע קורסי פיתוח מקצועי לעו""ה",661788
20230801,549598,3ג,"מאשרים התקשרות במסגרת המכרז והחוזה לשנה שנייה עם אוניברסיטת תל אביב לביצוע קורסי פיתוח מקצועי לעו""ה",1486512
20230801,549597,3ג,"מאשרים התקשרות במסגרת המכרז והחוזה לשנה שנייה עם מכללת אורות ישראל לביצוע קורסי פיתוח מקצועי לעו""ה",1138320
20230801,549594,3ג,"מאשרים התקשרות במסגרת המכרז והחוזה לשנה שנייה עם אוניברסיטת חיפה לביצוע קורסי פיתוח מקצועי לעו""ה",1464936
20230801,549592,3ג,"מאשרים התקשרות במסגרת המכרז והחוזה לשנה שנייה עם מכללת גורדון לביצוע קורסי פיתוח מקצועי לעו""ה",833280
20230801,549590,3ג,"מאשרים התקשרות במסגרת המכרז והחוזה לשנה שנייה עם מכללת בית ברל לביצוע קורסי פיתוח מקצועי לעו""ה",3363996
20230801,549589,3ג,"מאשרים התקשרות במסגרת המכרז והחוזה לשנה שנייה עם מכללה ערבית לביצוע קורסי פיתוח מקצועי לעו""ה",1600344
20230801,549586,3ג,"מאשרים התקשרות במסגרת המכרז והחוזה לשנה שנייה עם הטכניון לביצוע קורסי פיתוח מקצועי לעו""ה",577344
20230801,549584,3ג,"מאשרים התקשרות במסגרת המכרז והחוזה לשנה שנייה עם מט""ח לביצוע קורסי פיתוח מקצועי לעו""ה",1687335
20230801,549582,3ג,"מאשרים התקשרות במסגרת המכרז והחוזה לשנה שנייה עם מכון מופ""ת לביצוע קורסי פיתוח מקצועי לעו""ה",844068
20230801,549580,3ג,"מאשרים התקשרות במסגרת המכרז והחוזה לשנה שנייה עם מכון מופ""ת לביצוע קורסי פיתוח מקצועי לעו""ה",350052
20220171,549577,3ג,"המשך התקשרותעם האגודה לבריאות הציבור במסגרת המכרז המרכז של החשכ""ל מס' מממ 16-2010. העסקת עובד (אנשים עם מוגבלויות) מר ראובן בן עזרא. לפי תקנה 3ג.","25,762.02"
20220449,549574,3ג,מאשרים התקשרות עם חברת טלדור לצורך אחזקה ושירות מרכזיות טלפונים,"552,319.3"
20220451,549572,3ג,מאשרים התקשרות עם חניון אי.בי.סי למתן שרותי חנייה לשרהחינוך,21240
20241450,549571,3ג,"התקשרות במסגרת המכרז לשנה רביעית מימוש זכות ברירה עם חברת מרמנת - ארגון וניהול פרוייקטים בע""מ לתיאום ובקרת תוכניו של מסעות בני נוער לפולין. לפי תקנה 3ג - לתח""מ.","886,519.84"
20220451,549569,3ג,"מאשרים התקשרות עם בית אגם ספיר השקעות בע""מ לצורך קבלת שירותי ניהול ואחזקה","53,442.67"
20300551,549563,3ג,התקשרות עם חברת סיסטמם במסגרת השנה הרביעית במכרז 13/5.2009 - ביצוע בקרות שטח על הסעות תלמידים ועובדי הוראה ברשויות המקומיות ובבתי הספר.,"103,087.25"
20240543,549554,3ג,"המשך התקשרות שנה שמינית ואחרונה במסגרת מימוש זכות ברירה במכרז 30/7.06 - הוצאה לאור ושיווק של תכניות לימודים כותרים ספריים וממוחשבים בעברית, ערבית ואנגלית. עם ""מעלות"" הוצאת ספרים בע""מ.",0
20270650,549418,3(4)(ב)(3),"ועדת הרכישות המשרדית ממליצה לאשר הארכת התקשרות עם המרכז האוניבסיטאי אריאל בשומרון, במסגרת מכרז 63/11.08 – תכנון וסיוע למוסדות חינוך בהפעלה והטמעה פדגוגית של תוכנית, לשנה שישית למכרז, לתקופה 1.1.2014 עד 31.6.2014, היקף כולל של 4,078,518.50 ש""ח עפ""י הפרוט בתוכנית העבודה המצ""ב.",4078519
20270650,549359,3ג,"הרחבת התקשרות עם סנונית-גלים, במסגרת השנה הראשונה במכרז היקפים משתנים (כולל המכללות להכשרת עו""ה שלהן סמל מוסד) להפעלת מאגרי תוכן לימודי ומאגרי מידע כלליים. לפי תקנה 3ג.",286740
20270650,549340,3ג,"הרחבת התקשרות עם המרכז לטכנולוגיה חינוכית במסגרת השנה הראשונה מכרז היקפים משתנים. (כולל המכללות להכשרת עו""ה שלהן סמל מוסד) להפעלת מאגרי תוכן לימודי ומאגרי מידע כלליים, אספקת יחידות תוכן לבתי הספר המשתתפים בתוכנית התקשוב לצורך הפעלת שיעורים מכוונים. לפי תקנה 3ג - לתח""מ.",76560
20270650,549337,3ג,"הרחבת התקשרות עם ממשק - לאספקת יחידות תוכן לבתי הספר המשתתפים בתוכנית התקשוב לצורך הפעלת לימודי מידע כלליים, לפי תקנה 3ג.",2044
20270650,549335,3ג,"הרחבת התקשרות עם עת הדעת לאספקת יחידות תוכן לבתי הספר המשתתפים בתוכנית התקשוב לצורך הפעלת לימודי מידע כלליים, לפי תקנה 3ג.",0
20270650,549333,3ג,"הרחבת התקשרות עם אלנט לאספקת יחידות תוכן לבתי הספר המשתתפים בתוכנית התקשוב לצורך הפעלת לימודי מידע כלליים, לפי תקנה 3ג.",7001
20220451,549314,3ג,מאשרים המשך התקשרות עם חב' השקעות ברדן לצורך תשלום דמי ניהול בהתאם להסכם שנכרת,"106,885.34"
20240901,549095,3(19)(ג),"ועדת הפטור המשרדית ממליצה לועדת הפטור בחשכל לאשר התקשרות עם עולמית שבבעלות בלעדית של הסוכנות היהודית, להפעלת רשת בתי""ס יהודיים בתפוצות, במסגרת פרוייקט חי""ל, לתקופה 1/1/14 - 31/12/14, בהיקף כולל של עד 10,500,000 ש""ח - חלקו של המשרד, כמפורט בתכנית העבודה. הפעלת רשת בתי""ס במסגרת פרוייקט חי""ל מבוצע ע""י עולמית עפ""י החלטת ממשלה 4405 מ- 13/8/98 ומופעל מעל 10 שנים. ועדת הפטור. התקשרות לשנת 2013 אושרה בפניה מס' 537420.",10500000
20220461,549062,3ג,"מאשרים התקשרות עם כלל בריאות חברה לביטוח בע""מ במסגרת השנה השישית למכרז ולצורך מתן שירותי הסדר כולל למתן טיפולי שיניים לתלמידים שנפגעו בתאונה",6930000
20241765,548950,3(18),"ועדת הרכישות המשדית ממליצה לועדת הפטור בחשכ""ל לאשר פטור מחובת מכרז להתקשרות עם ג'וינט ישראל, להפעלת תכנית פאקט קליבלנד לילדים יוצאי אתיופיה, לתקופה 15/12/13 - 30/11/14, בהיקף כולל של 5,535,618 ש""ח, מסך זה חלקו של הג'וינט 25% בסך 1,535,618 ש""ח וחלקו של המשרד 4 מיליון ש""ח. התקשרות מאושרת לפי תקנה 3(18) לתח""מ ומהנימוקים המפורטים במכתבה של מאיה שריר מיום 9/12/13 ומהנימוקים שפורטו לוועדת הפטור בחשכ""ל להתקשרות עם הג'וינט לתקופה 1/3/13 - 31/8/13 שאושרה בוועדת הפטור בחשכ""למיום 29/4/1",4000000
20241853,548937,3(30),התקשרות במיזם משותף לפי תקנה 3(30) עם אורות ערכים תצורה ומסורת בנושא: לימודי תרבות ישראל במערכת החינוך הממלכתית בישראל(רוח יהודית וכחול לבן).,3995791
20240555,548853,3ג,"הארכת התקשרות עם המרכז הישראלי לכבוד האדם במסגרת השנה הרביעית להפעלת תכנית בתחום המגדר ושוויון בין המינים במערכת החינוך לפי תקנה 3ג - לתח""מ.",897564
20240555,548851,3ג,"הארכת התקשרות עם ""קול הילד"" עמותה למניעת הטרדת מינית בקרב ילדים במסגרת המכרז לפי תקנה 3ג- לתח""מ.","250,185.4"
20270650,548850,3ג,"הרחבת התקשרות עם חברת טלדור מערכות מחשבים בע""מ במסגרת המכרז וחוזה לשנה שנייה לבדיקת הצטיידות בצחומי החשוב טכנולוגיה ומדעים בקרת תשלומים ביצוע סקרים ובדיקות שטח לבדיקת איכות התקנה וקרינה. לפי תקנה 3ג - לתח""מ",4148632
20260577,548818,3(19)(א),מאשרים הארכת התקשרות עם ההסתדרות הציונית העולמית להוסיף שתי שכבות גיל נוספות בפטור ממכרז לפי תקנה 3(19),3902350
20220451,548817,3(7),"מאשרים התקשרות עם רשות העתיקות לצורך ביצוע עבודות הסרת סכנה לחיזוק אבני כותרת במגדלים של מבנה בית החולים האיטלקי ועבודות טיפול בגג הרעפים של אולם רוטשילד בבניין האמור, המהווה אחד מבנייני מטה משרד החינוך לפי תקנה 3(7)",2100000
210745,548675,3ג,לשכת המדען מבקשים להאריך את ההתקשרות עם אוניברסיטת חיפה מתאריך 1.1.2014 עד 30.4.2014. ללא תוספת תשלום.,1
20220451,548616,3ג,מאשרים הארכת התקשרות עם חברת 'לבטח הנדסה ובטיחות' במסגרת המכרז לשנה הרביעית,0.01
20220179,548570,3ג,"התקשרות עם חברת המשקם עפ""י מכרז חשכ""ל מס' מממ 16 - 2010 (הודעת מכרז מרכזי מ- 16.12.2012) תשלום ל-6 משכורות חודשי עבודה. ההתקשרות מאושר לפי תקנה 3ג - מימוש זכות ברירה.","95,611.28"
20230781,548568,3ג,התקשרות עם עמותת אלומה לאיתור מיון והכשרת מורות חיילות לסיוע בהוראת תלמידים בבתי הספר ובקהילה לפי תקנה 3ג.,"3,445,077.23"
20242001,548564,3ג,"ועדת הרכישות של המשרד אישרה המשך התקשרות עם מרמנת לשנה שנייה למכרז 26/8.12 להפעלת צוותים לשילוב אופק חדש ועוז לתמורה במערכת החינוך, לפי תקנה 3ג לתח""מ, במסגרת מימוש זכות ברירה בהסכם שנכרת בעקבות מכרז.",1411148
20220351,548562,3ג,"ועדת הרכישות המרשדית אישרה המשך התקשרות עם חב' סיגו לשנה רביעית למכרז 2/1.10להפעלת יועצים למתן שרותים לפיתוח ארגוני ולפיתוח משאבי אנוש , לפי תקנה 3ג לתח""מ, במסגרת מימוש זכות ברירה בהסכם שנכרת בעקבות מכרז",2597740
20271041,548560,3ג,"ועדת הרכישות המרשדית אישרה המשך התקשרות עם חב' תדביק לשנה שנייה למכרז 30/10.12 - לייצור והדפסת מדבקות לבחינות הבגרות והגמר, לפי תקנה 3ג לתח""מ, במסגרת מימוש זכות ברירה בהסכם שנכרת בעקבות מכרז",873359
20220447,548549,3ג,מאשרים הארכת התקשרות עם חב' פרושף גוד פוד הזוכה במכרז,"586,929.92"
20220451,548546,3ג,התקשרות עם חב' טנדו למסגרת השנה הרביעית למכרז,0.01
20220451,548540,3ג,מאשרים התקשרות עם חב' כ.י הנביאים נכסים והשקעות (2011),"106,885.34"
20220449,548539,3ג,מאשרים הארכת התקשרות עם עמותת אלווין הזוכה במכרז,991200
20220351,548532,3(29),התקשרות עם חב' אגורא מדיניות לצורך קבלת שירותי ייעוץ מדר' נרי הורוביץ בנושאים הנוגעים לפיתוח והתאמה של שירותי חינוך ציבוריים למערכת החינוך החרדית וכן לעיצוב תהליכי משילות של המחוז החרדי אל מול אוכלוסייה זו. לפי תקנה 3(29).,767189
20261253,548531,3(29),"התקשרות עם עמותת כפר הירדן כספק יחיד לפי תקנה 3(29) לתח,מ, לאספקת סדרות הפגה וחינוך לתלמידים חולים במחלות כרוניות ומחלות מסכנות חיים.",1039152
20261253,548530,3(29),"התקשרות עם המרכז לעיוור בישראל לאספקת הציוד הוראה ולמידה לאוכלוסיית לקויי ראיה ועיוורים ומתן שירותים נדרשים, חלפים ותיקון למכונות בראייל ולטמ""סים לציוד הוראה. לפי תקנה 3(29).",700081
20220645,548529,3(4)(ב)(2),"הארכת התקשרות בפטור בחלק ממסגרת השנה החמישית מעבר למימוש זכות הברירה שהוגדרה במכרז עם חב' השמירה בע""מ - מחוז דרום בנושא אבטחה ושמירה במתקנה המשרד במחוז דרום חפי תקנה 3(4)(ב)(2).",191337
20220645,548528,3(4)(ב)(2),"הארכת התקשרות עם מודיעין אזרחי בע""מ, לשנה חמישית מעבר לזכות הברירה למתן שירותי אבטחה וניהול אבטחה בבנייני המשרד שבמחוזות צפון וחיפה. לפי תקנה 3(4)(ב)(2).","1,762,861.23"
20210504,548524,23(א2),התקשרות עם חברת EDP הצעה היחידה שהוגשה במכרז סגור לצורך שירותי תמיכה במערכת מרכזית לניהול חשבונות משתמשים והרשאות IDM של חברת NOVELL לפי תקנה 23(א2).,488400
